"Symbol","Security.Name","Data","Cap","Float"
"AACG","ATA Creativity Global - American Depositary Shares, each representing two common shares","Y",104.29,22.11
"AACQ","Artius Acquisition Inc. - Class A Common Stock","Y",911.02,54.34
"AAL","American Airlines Group, Inc. - Common Stock","Y",13880,632.66
"AAME","Atlantic American Corporation - Common Stock","Y",73.46,4.08
"AAOI","Applied Optoelectronics, Inc. - Common Stock","Y",205.89,21.78
"AAON","AAON, Inc. - Common Stock","Y",3640,41.35
"AAPL","Apple Inc. - Common Stock","Y",2269440,16780
"AAWW","Atlas Air Worldwide Holdings - Common Stock","Y",1910,27.14
"AAXN","Axon Enterprise, Inc. - Common Stock","Y",NA,NA
"ABCB","Ameris Bancorp - Common Stock","Y",3470,65.72
"ABEO","Abeona Therapeutics Inc. - Common Stock","Y",140.62,84.39
"ABIO","ARCA biopharma, Inc. - Common Stock","Y",49.43,9.28
"ABMD","ABIOMED, Inc. - Common Stock","Y",15220,44.17
"ABTX","Allegiance Bancshares, Inc. - Common Stock","Y",806.81,18.8
"ABUS","Arbutus Biopharma Corporation - Common Stock","Y",304.27,63.55
"ACAD","ACADIA Pharmaceuticals Inc. - Common Stock","Y",3320,158.33
"ACAM","Acamar Partners Acquisition Corp. - Class A Common Stock","Y",NA,NA
"ACBI","Atlantic Capital Bancshares, Inc. - Common Stock","Y",488.36,20.08
"ACCD","Accolade, Inc. - common stock","Y",2670,47.28
"ACER","Acer Therapeutics Inc. - Common Stock","Y",40.94,12.12
"ACET","Adicet Bio, Inc. - Common Stock","Y",410.29,12.63
"ACEV","ACE Convergence Acquisition Corp. - Class A Ordinary Shares","Y",285.47,23
"ACGL","Arch Capital Group Ltd. - Common Stock","Y",16100,394.14
"ACGLO","Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F","Y",NA,NA
"ACGLP","Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs","Y",NA,NA
"ACHC","Acadia Healthcare Company, Inc. - Common Stock","Y",5280,87.25
"ACHV","Achieve Life Sciences, Inc.  - Common Shares","Y",63.87,6.09
"ACIA","Acacia Communications, Inc. - Common Stock","Y",NA,NA
"ACIU","AC Immune SA - Common Stock","Y",496.52,35.18
"ACIW","ACI Worldwide, Inc. - Common Stock","Y",4720,114.18
"ACLS","Axcelis Technologies, Inc. - Common Stock","Y",1470,32.85
"ACMR","ACM Research, Inc. - Class A Common Stock","Y",1470,11.73
"ACNB","ACNB Corporation - Common Stock","Y",247.88,8.39
"ACOR","Acorda Therapeutics, Inc. - Common Stock","Y",37.47,7.72
"ACRS","Aclaris Therapeutics, Inc. - Common Stock","Y",1370,42.28
"ACRX","AcelRx Pharmaceuticals, Inc. - Common Stock","Y",152.3,116.59
"ACST","Acasti Pharma, Inc. - Class A Common Stock","Y",88.03,179.14
"ACTG","Acacia Research Corporation - Common Stock","Y",288.23,46.31
"ADAP","Adaptimmune Therapeutics plc - American Depositary Shares","Y",743.89,11.58
"ADBE","Adobe Inc. - Common Stock","Y",245870,476.43
"ADES","Advanced Emissions Solutions, Inc. - Common Stock","Y",90.6,17.94
"ADI","Analog Devices, Inc. - Common Stock","Y",58320,368.17
"ADIL","Adial Pharmaceuticals, Inc - Common Stock","Y",35.38,11.64
"ADMA","ADMA Biologics Inc - Common Stock","Y",211.61,70.91
"ADMP","Adamis Pharmaceuticals Corporation - Common Stock","Y",96.57,93.15
"ADMS","Adamas Pharmaceuticals, Inc. - Common Stock","Y",219.69,27.75
"ADP","Automatic Data Processing, Inc. - Common Stock","Y",82040,427.09
"ADPT","Adaptive Biotechnologies Corporation - Common Stock","Y",5890,128.95
"ADSK","Autodesk, Inc. - Common Stock","Y",63450,218.58
"ADTN","ADTRAN, Inc. - Common Stock","Y",864.07,47.5
"ADTX","ADiTx Therapeutics, Inc. - Common Stock","Y",38.4,10.97
"ADUS","Addus HomeCare Corporation - Common Stock","Y",1700,15.57
"ADVM","Adverum Biotechnologies, Inc. - Common Stock","Y",929.69,96.74
"ADXN","Addex Therapeutics Ltd - American Depositary Shares","Y",58.34,1.89
"ADXS","Advaxis, Inc. - Common Stock","Y",70.2,113.37
"AEGN","Aegion Corp - Class A Common Stock","Y",940.62,29.5
"AEHL","Antelope Enterprise Holdings Limited - Common Stock","Y",9.98,2.18
