"Symbol","Data","Cap","Float"
"A","Y",40280,304.48
"AA","Y",6190,185.17
"AAN","Y",852.35,33.72
"AAP","Y",12370,64.87
"AAT","Y",2060,59.56
"AB","Y",3890,96.31
"ABB","Y",70690,2010
"ABBV","Y",189870,1760
"ABC","Y",24330,147.41
"ABEV","Y",45010,4400
"ABG","Y",4110,19.08
"ABM","Y",3520,66.19
"ABR","Y",2190,118.97
"ABT","Y",219880,1760
"AC","Y",767.09,3.22
"ACA","Y",3010,47.98
"ACB","Y",1620,196.81
"ACC","Y",6120,136.47
"ACCO","Y",825.9,91.78
"ACEL","Y",1100,50.77
"ACH","Y",10700,429.49
"ACM","Y",9930,145.94
"ACN","Y",189380,634.62
"ACP","Y",215.81,NA
"ACRE","Y",571.01,30.26
"ACV","Y",345.72,NA
"ADC","Y",4390,61.89
"ADM","Y",32680,554.2
"ADNT","Y",4220,93.19
"ADS","Y",5280,48.07
"ADT","Y",7500,691.67
"ADX","Y",2120,109.35
"AEB","Y",NA,NA
"AEE","Y",21230,246.05
"AEG","Y",9730,1800
"AEL","Y",3030,85.77
"AEM","Y",15660,242.2
"AEO","Y",5840,154.58
"AER","Y",8460,123.22
"AES","Y",18870,663.17
"AFB","Y",413.64,NA
"AFC","Y",NA,NA
"AFG","Y",10120,69.11
"AFGB","Y",NA,NA
"AFGC","Y",NA,NA
"AFGE","Y",NA,NA
"AFI","Y",107.1,20.95
"AFL","Y",36400,640.82
"AFT","Y",236.56,NA
"AG","Y",3570,211.22
"AGCO","Y",11360,61.69
"AGD","Y",NA,NA
"AGI","Y",3420,391.06
"AGM","Y",1040,10.09
"AGO","Y",3470,76.21
"AGR","Y",16280,56.7
"AGRO","Y",1040,116.17
"AGS","Y",272.25,35.48
"AGX","Y",811.18,14.91
"AHC","Y",46.64,18.75
"AHH","Y",1090,58.16
"AHT","Y",229.07,100.47
"AI","Y",6240,67.91
"AIC","Y",NA,NA
"AIF","Y",219.13,NA
"AIG","Y",39920,858.46
"AIN","Y",2800,30.5
"AIO","Y",940.45,NA
"AIR","Y",1410,33.64
"AIT","Y",3620,38.32
"AIV","Y",944.54,147.49
"AIW","Y",NA,NA
"AIZ","Y",9130,58.26
"AIZP","Y",NA,NA
"AI","Y",6240,67.91
"AJG","Y",26260,191.76
"AJRD","Y",3870,75.65
"AJX","Y",260.48,20.13
"AJXA","Y",NA,NA
"AKR","Y",1750,85.64
"AL","Y",5560,106.91
"ALB","Y",18200,116.15
"ALC","Y",36870,488.94
"ALE","Y",3670,51.73
"ALEX","Y",1270,68.11
"ALG","Y",1880,11.55
"ALK","Y",8570,123.09
"ALL","Y",36710,299.85
"ALLE","Y",11780,90.3
"ALLY","Y",17920,371.48
"ALL","Y",36710,299.85
"ALSN","Y",4970,110.99
"ALUS","Y",358.28,28.46
"ALV","Y",8380,87.21
"ALX","Y",1460,2.11
"AL","Y",5560,106.91
"AM","Y",4180,313.88
"AMC","Y",4610,233.01
"AMCR","Y",18430,1550
"AME","Y",30560,229.05
"AMG","Y",6700,42.2
"AMH","Y",11150,270.78
"AMK","Y",1590,17.44
"AMN","Y",3570,46.57
"AMOV","Y",NA,NA
"AMP","Y",28620,115.6
"AMPY","Y",102.25,30.2
"AMRC","Y",2340,26.81
"AMRX","Y",1710,116.74
"AMT","Y",109890,442.76
"AMX","Y",47310,1710
"AN","Y",7960,77.45
"ANET","Y",23890,54.38
"ANF","Y",2430,61.11
"ANH","Y",NA,NA
"ANTM","Y",92230,242.95
"AOD","Y",1030,NA
"AON","Y",52710,225.53
"AOS","Y",10860,134.29
"AP","Y",129.83,11.37
"APAM","Y",4360,55.72
"APD","Y",62860,220.45
"APH","Y",40490,590.32
"APLE","Y",3350,218.21
"APO","Y",22280,176.74
"APRN","Y",108.83,11.95
"APTS","Y",522.96,48.73
"APTV","Y",38160,268.69
"AQN","Y",9610,598.3
"AQNA","Y",NA,NA
"AQNB","Y",NA,NA
"AQUA","Y",3410,118.42
"AR","Y",2870,224.23
"ARC","Y",95,35.98
"ARCH","Y",737.28,15
"ARCO","Y",1090,125.61
"ARD","Y",6290,18.66
"ARDC","Y",350.83,NA
"ARE","Y",23940,132.39
"ARES","Y",15280,102.29
"ARGD","Y",NA,NA
"ARGO","Y",1850,33.39
"ARI","Y",2050,138.94
"ARL","Y",135.69,15.44
"ARLO","Y",466.74,75.86
"ARMK","Y",9940,252.74
"ARNC","Y",2840,108.34
"AROC","Y",1450,128.49
"ARR","Y",813.69,63.58
"ARW","Y",8630,73.99
"ASA","Y",421.68,19.23
"ASB","Y",3300,149.46
"ASC","Y",134.23,32.98
"ASG","Y",381.85,NA
"ASGN","Y",5700,50.79
"ASH","Y",5430,56.31
"ASIX","Y",788.6,27.2
"ASPN","Y",491.38,25.91
"ASR","Y",5330,18.32
"ASX","Y",16380,1590
"AT","Y",270,85.56
"ATEN","Y",682.47,63.25
"ATGE","Y",2000,49.3
"ATH","Y",10390,126.69
"ATHM","Y",11990,66.93
"ATH","Y",10390,126.69
"ATI","Y",2830,125.55
"ATKR","Y",3400,46.17
"ATO","Y",12390,120.44
"ATR","Y",9820,64.45
"ATTO","Y",349.5,13.62
"ATUS","Y",10100,179.7
"AU","Y",8880,412.82
"AUY","Y",4580,959.83
"AVA","Y",3340,68.08
"AVAL","Y",6930,391.41
"AVB","Y",26390,139.21
"AVD","Y",626.58,26.65
"AVK","Y",634.92,NA
"AVLR","Y",12510,81.24
"AVNS","Y",2180,46.97
"AVTR","Y",18950,495.86
"AVY","Y",16480,82.88
"AVYA","Y",2480,82.02
"AWF","Y",1030,NA
"AWI","Y",4600,47.27
"AWK","Y",28630,180.3
"AWP","Y",534.65,NA
"AWR","Y",2950,36.51
"AX","Y",2770,52.78
"AXL","Y",1040,111.42
"AXO","Y",NA,NA
"AXP","Y",118180,802.38
"AXR","Y",71.79,3.1
"AXS","Y",4560,75.56
"AXTA","Y",7040,231.84
"AYI","Y",6170,35.56
"AYX","Y",5630,58.46
"AZO","Y",32520,21.96
"AZRE","Y",1190,44.74
"AZUL","Y",2280,89.96
"AZZ","Y",1280,24.91
"B","Y",2540,46.27
"BA","Y",144180,532.66
"BABA","Y",636290,2430
"BAC","Y",334390,8580
"BAF","Y",NA,NA
"BAH","Y",11500,135.56
"BAK","Y",7110,101.76
"BAM","Y",69350,1250
"BANC","Y",913.55,47.13
"BAP","Y",12730,67.11
"BAX","Y",43380,504.41
"BB","Y",4910,555.29
"BBAR","Y",836.1,69.23
"BBD","Y",37480,6340
"BBDC","Y",674.06,51.08
"BBDO","Y",NA,NA
"BBF","Y",NA,NA
"BBK","Y",NA,NA
"BBL","Y",173810,1040
"BBN","Y",1420,NA
"BBU","Y",3170,NA
"BBVA","Y",35590,6570
"BBW","Y",131.76,13.32
"BBY","Y",29570,229.43
"BC","Y",8000,77.25
"BCC","Y",2620,38.81
"BCE","Y",41970,904.01
"BCEI","Y",698.53,20.38
"BCH","Y",12290,384.32
"BCO","Y",3900,48.89
"BCS","Y",43230,4250
"BCSF","Y",1020,52.45
"BCX","Y",822.39,NA
"BC","Y",8000,77.25
"BDC","Y",1940,43.68
"BDJ","Y",1840,NA
"BDN","Y",2250,168.09
"BDX","Y",74350,288.64
"BE","Y",3580,132.31
"BEDU","Y",697.2,20.04
"BEN","Y",15270,288.52
"BEP","Y",11410,205.91
"BERY","Y",8430,131.51
"BEST","Y",545.63,58.58
"BFAM","Y",9960,59.9
"BFK","Y",671.76,NA
"BFS","Y",956.82,12.91
"BFY","Y",NA,NA
"BFZ","Y",456.65,NA
"BG","Y",11340,134.51
"BGB","Y",599.4,NA
"BGH","Y",328.05,NA
"BGIO","Y",205.97,NA
"BGR","Y",249.46,NA
"BGS","Y",1940,62.73
"BGSF","Y",139.27,10.01
"BGT","Y",281.72,NA
"BGX","Y",182.74,NA
"BGY","Y",653.93,NA
"BH","Y",424.34,0.23
"BHC","Y",10450,347.91
"BHE","Y",1080,35.9
"BHK","Y",836.53,NA
"BHLB","Y",1120,48.34
"BHP","Y",173730,1470
"BHR","Y",235.62,27.38
"BHV","Y",27.14,NA
"BHVN","Y",4650,49.54
"BIF","Y",1300,NA
"BIG","Y",2270,33.1
"BILL","Y",12890,78.31
"BIO","Y",18630,21.38
"BIP","Y",22750,285.54
"BIT","Y",689.57,NA
"BJ","Y",6030,133.75
"BK","Y",42780,874.75
"BKD","Y",1200,179.37
"BKE","Y",2100,29.43
"BKH","Y",4410,62.27
"BKI","Y",11470,151.9
"BKN","Y",316.28,NA
