"date","open","high","low","close"
"2018-01-03",2.078,2.078,2.078,2.078
"2018-01-04",2.101,2.13,2.101,2.125
"2018-01-05",2.116,2.118,2.116,2.118
"2018-01-08",2.118,2.118,2.118,2.118
"2018-01-09",2.125,2.125,2.125,2.125
"2018-01-10",2.127,2.127,2.127,2.127
"2018-01-11",2.127,2.127,2.127,2.127
"2018-01-12",2.117,2.119,2.117,2.119
"2018-01-15",2.119,2.119,2.119,2.119
"2018-01-16",2.12,2.12,2.12,2.12
"2018-01-17",2.121,2.122,2.121,2.122
"2018-01-18",2.139,2.139,2.137,2.137
"2018-01-19",2.137,2.137,2.11,2.11
"2018-01-22",2.133,2.133,2.133,2.133
"2018-01-23",2.119,2.125,2.119,2.122
"2018-01-24",2.125,2.125,2.125,2.125
"2018-01-25",2.113,2.137,2.113,2.137
"2018-01-26",2.13,2.13,2.13,2.13
"2018-01-29",2.13,2.13,2.13,2.13
"2018-01-30",2.141,2.141,2.132,2.132
"2018-01-31",2.114,2.114,2.105,2.105
"2018-02-01",2.1,2.1,2.1,2.1
"2018-02-02",2.096,2.096,2.096,2.096
"2018-02-05",2.079,2.079,2.075,2.075
"2018-02-07",2.031,2.031,2.031,2.031
"2018-02-08",2.024,2.024,2.024,2.024
"2018-02-09",1.98,1.98,1.959,1.964
"2018-02-12",1.98,1.98,1.98,1.98
"2018-02-13",1.98,1.98,1.98,1.98
"2018-02-14",1.996,1.996,1.996,1.996
"2018-02-15",1.998,1.998,1.998,1.998
"2018-02-16",2.012,2.012,2.012,2.012
"2018-02-19",2.012,2.012,2.012,2.012
"2018-02-20",2.012,2.012,2.012,2.012
"2018-02-21",2.012,2.012,2.012,2.012
"2018-02-22",2.012,2.012,2.012,2.012
"2018-02-23",2.022,2.025,2.021,2.025
"2018-02-26",2.025,2.025,2.025,2.025
"2018-02-27",2.025,2.025,2.025,2.025
"2018-02-28",2.09,2.09,2.07,2.07
"2018-03-01",2.071,2.071,2.056,2.056
"2018-03-02",2.01,2.01,2.009,2.009
"2018-03-05",2.023,2.027,2.02,2.027
"2018-03-06",2.033,2.033,2.028,2.028
"2018-03-07",2.037,2.037,2.037,2.037
"2018-03-08",2.037,2.037,2.037,2.037
"2018-03-09",2.037,2.037,2.037,2.037
"2018-03-12",2.045,2.045,2.045,2.045
"2018-03-13",2.045,2.045,2.045,2.045
"2018-03-14",2.04,2.04,2.04,2.04
"2018-03-15",2.045,2.045,2.045,2.045
"2018-03-16",2.06,2.061,2.06,2.061
"2018-03-19",2.06,2.06,2.06,2.06
"2018-03-20",2.032,2.032,2.032,2.032
"2018-03-21",2.052,2.054,2.052,2.054
"2018-03-22",2.049,2.049,2.049,2.049
"2018-03-23",2.023,2.023,2.023,2.023
"2018-03-26",2.023,2.023,2.023,2.023
"2018-03-27",2.023,2.023,2.023,2.023
"2018-03-28",2.023,2.023,2.023,2.023
"2018-03-29",2.023,2.023,2.023,2.023
"2018-04-03",2.006,2.006,2.006,2.006
"2018-04-04",2.009,2.009,2.009,2.009
"2018-04-05",2.009,2.009,2.009,2.009
"2018-04-06",2.009,2.009,2.009,2.009
"2018-04-09",2.009,2.009,2.009,2.009
"2018-04-10",2.005,2.005,2.005,2.005
"2018-04-11",2.005,2.005,2.005,2.005
"2018-04-12",2,2,2,2
"2018-04-13",2,2,2,2
"2018-04-16",2.004,2.004,2.004,2.004
"2018-04-17",2.004,2.004,2.004,2.004
"2018-04-18",2.019,2.019,2.019,2.019
"2018-04-19",2.038,2.038,2.038,2.038
"2018-04-20",2.039,2.05,2.039,2.05
"2018-04-23",2.05,2.05,2.05,2.05
