"date","open","high","low","close"
"2019-06-05",2.67499,2.67499,2.67499,2.67499
"2019-06-06",2.7,2.7,2.7,2.7
"2019-06-07",2.7,2.7,2.7,2.7
"2019-06-10",2.73,2.745,2.73,2.745
"2019-06-11",2.8,2.8,2.8,2.8
"2019-06-12",2.836,2.836,2.83,2.83
"2019-06-13",2.815,2.82,2.81,2.82
"2019-06-14",2.82,2.83,2.81,2.83
"2019-06-17",2.82,2.82,2.81,2.81
"2019-06-18",2.81,2.81,2.81,2.81
"2019-06-19",2.84,2.84,2.84,2.84
"2019-06-20",2.86,2.86,2.84,2.85
"2019-06-21",2.89,2.895,2.88,2.89
"2019-06-24",2.885,2.885,2.87,2.87
"2019-06-25",2.865,2.865,2.84,2.84
"2019-06-26",2.82,2.825,2.82,2.825
"2019-06-27",2.8,2.8,2.79,2.8
"2019-06-28",2.82,2.83,2.82,2.83
"2019-07-01",2.85,2.865,2.85,2.86
"2019-07-02",2.92,2.93,2.92,2.93
"2019-07-03",2.95,2.95,2.94,2.94
"2019-07-04",2.9,2.9,2.9,2.9
"2019-07-05",2.92,2.92,2.92,2.92
"2019-07-08",2.91,2.91,2.88,2.905
"2019-07-09",2.87,2.89,2.87,2.89
"2019-07-10",2.85,2.88,2.85,2.88
"2019-07-11",2.86,2.86,2.84,2.86
"2019-07-12",2.85,2.85,2.84,2.84
"2019-07-15",2.84,2.85,2.82,2.82
"2019-07-16",2.84,2.84,2.82,2.82
"2019-07-17",2.85,2.85,2.83,2.84
"2019-07-18",2.83,2.83,2.81,2.83
"2019-07-19",2.78,2.78,2.75,2.77
"2019-07-22",2.79,2.81,2.79,2.8
"2019-07-23",2.83,2.83,2.81,2.82
"2019-07-24",2.85,2.86,2.85,2.86
"2019-07-25",2.9,2.9,2.88,2.9
"2019-07-26",2.921,2.93,2.92,2.92
"2019-07-29",2.93,2.94,2.92,2.93
"2019-07-30",2.9,2.9,2.88,2.88
"2019-07-31",2.891,2.91,2.89,2.91
"2019-08-01",2.92,2.96,2.92,2.95
"2019-08-02",2.93,2.93,2.91,2.93
"2019-08-05",2.85,2.85,2.81,2.82
"2019-08-06",2.83,2.83,2.7,2.742
"2019-08-07",2.75,2.79,2.73,2.79
"2019-08-08",2.79,2.79,2.77,2.77
"2019-08-09",2.82,2.84,2.81,2.83
"2019-08-12",2.81,2.81,2.79,2.79
"2019-08-13",2.78,2.8,2.77,2.79
"2019-08-14",2.811,2.825,2.8,2.815
"2019-08-15",2.815,2.815,2.74,2.74
"2019-08-16",2.74,2.74,2.72,2.738
"2019-08-19",2.79,2.82,2.79,2.8
"2019-08-20",2.84,2.86,2.83,2.84
"2019-08-21",2.85,2.85,2.83,2.83
"2019-08-22",2.87,2.88,2.86,2.86
"2019-08-23",2.87,2.88,2.85,2.86
"2019-08-26",2.859,2.86,2.82,2.83
"2019-08-27",2.81,2.83,2.81,2.83
"2019-08-28",2.82,2.82,2.8,2.81
"2019-08-29",2.82,2.82,2.82,2.82
"2019-08-30",2.87,2.88,2.86,2.88
"2019-09-02",2.88,2.89,2.87,2.88
"2019-09-03",2.9,2.9,2.87,2.88
"2019-09-04",2.84,2.86,2.84,2.86
"2019-09-05",2.86,2.88,2.86,2.88
"2019-09-06",2.94,2.96,2.93,2.93
"2019-09-09",2.93,2.96,2.93,2.96
"2019-09-10",2.95,2.97,2.95,2.96
"2019-09-11",2.96,2.96,2.94,2.96
"2019-09-12",2.98,3,2.97,2.98
"2019-09-13",3.03,3.03,3.01,3.01
"2019-09-16",3.05,3.07,3.05,3.05
"2019-09-17",3.07,3.07,3.04,3.06
"2019-09-18",3.04,3.04,3.03,3.04
"2019-09-19",3.06,3.07,3.05,3.06
"2019-09-20",3.081,3.1,3.08,3.09
"2019-09-23",3.09,3.09,3.07,3.09
"2019-09-24",3.06,3.06,3.03,3.05
"2019-09-25",3.039,3.039,3.01,3.03
"2019-09-26",3.01,3.01,2.97,2.97
"2019-09-27",3.02,3.02,3.02,3.02
"2019-09-30",3.03,3.05,3.01,3.05
"2019-10-01",3.02,3.03,3,3.03
"2019-10-02",3.06,3.06,3.03,3.06
"2019-10-03",3,3,2.93,2.96
"2019-10-04",2.96,2.96,2.93,2.94
"2019-10-07",2.99,2.99,2.97,2.98
"2019-10-08",3,3.02,3,3.005
"2019-10-09",2.98,2.98,2.96,2.96
"2019-10-10",2.98,2.98,2.96,2.97
