"date","open","high","low","close"
"2019-06-05",1.97734,1.97734,1.97734,1.97734
"2019-06-06",1.97,1.97,1.97,1.97
"2019-06-07",1.97,1.97,1.97,1.97
"2019-06-10",1.99,1.995,1.99,1.995
"2019-06-11",2.01,2.01,2.01,2.01
"2019-06-12",2.03,2.04,2.03,2.04
"2019-06-13",2.02,2.02,2.02,2.02
"2019-06-14",2.02,2.03,2.02,2.03
"2019-06-17",2.03,2.03,2.03,2.03
"2019-06-18",2.04,2.04,2.04,2.04
"2019-06-19",2.07,2.07,2.06,2.06
"2019-06-20",2.05,2.05,2.05,2.05
"2019-06-21",2.09,2.09,2.09,2.09
"2019-06-24",2.08,2.08,2.08,2.08
"2019-06-25",2.07,2.07,2.07,2.07
"2019-06-26",2.05,2.06,2.05,2.05
"2019-06-27",2.05,2.05,2.05,2.05
"2019-06-28",2.05,2.06,2.05,2.06
"2019-07-01",2.06,2.06,2.06,2.06
"2019-07-02",2.08,2.08,2.08,2.08
"2019-07-03",2.08,2.08,2.07,2.07
"2019-07-04",2.07,2.07,2.07,2.07
"2019-07-05",2.09,2.09,2.09,2.09
"2019-07-08",2.09,2.09,2.09,2.09
"2019-07-09",2.05,2.07,2.05,2.07
"2019-07-10",2.08,2.08,2.08,2.08
"2019-07-11",2.06,2.07,2.06,2.07
"2019-07-12",2.07,2.07,2.07,2.07
"2019-07-15",2.06,2.06,2.03,2.05
"2019-07-16",2.04,2.04,2.04,2.04
"2019-07-17",2.05,2.06,2.05,2.05
"2019-07-18",2.05,2.05,2.04,2.05
"2019-07-19",2.04,2.04,2.03,2.03
"2019-07-22",2.05,2.055,2.03,2.03
"2019-07-23",2.04,2.04,2.03,2.03
"2019-07-24",2.041,2.05,2.04,2.05
"2019-07-25",2.06,2.06,2.04,2.05
"2019-07-26",2.06,2.06,2.06,2.06
"2019-07-29",2.06,2.07,2.06,2.07
"2019-07-30",2.07,2.07,2.06,2.06
"2019-07-31",2.04,2.04,2.04,2.04
"2019-08-01",2.08,2.08,2.08,2.08
"2019-08-02",2.06,2.06,2.06,2.06
"2019-08-05",2.03,2.03,2,2.01
"2019-08-06",2.02,2.02,2.02,2.02
"2019-08-07",1.96,1.98,1.94,1.98
"2019-08-08",1.98,1.98,1.96,1.96
"2019-08-09",2,2,2,2
"2019-08-12",1.96,1.99,1.96,1.96
"2019-08-13",1.97,1.97,1.97,1.97
"2019-08-14",1.971,1.99,1.97,1.97
"2019-08-15",1.98,1.98,1.96,1.96
"2019-08-16",1.93,1.95,1.93,1.95
"2019-08-19",1.99,1.99,1.99,1.99
"2019-08-20",2.01,2.01,1.99,2.01
"2019-08-21",1.99,2.01,1.99,2.01
"2019-08-22",2.01,2.02,2.01,2.02
"2019-08-23",2.01,2.01,1.99,1.99
