"date","open","high","low","close"
"2018-01-03",1.684,1.693,1.68,1.691
"2018-01-04",1.697,1.698,1.697,1.698
"2018-01-05",1.695,1.701,1.695,1.696
"2018-01-08",1.704,1.71,1.704,1.71
"2018-01-09",1.703,1.704,1.697,1.704
"2018-01-10",1.706,1.713,1.706,1.712
"2018-01-11",1.694,1.697,1.692,1.697
"2018-01-12",1.692,1.692,1.691,1.691
"2018-01-15",1.714,1.714,1.709,1.71
"2018-01-16",1.702,1.706,1.702,1.706
"2018-01-17",1.706,1.712,1.706,1.711
"2018-01-18",1.718,1.721,1.718,1.721
"2018-01-19",1.728,1.728,1.714,1.715
"2018-01-22",1.726,1.731,1.726,1.731
"2018-01-23",1.728,1.728,1.724,1.724
"2018-01-24",1.723,1.723,1.722,1.722
"2018-01-25",1.713,1.736,1.709,1.728
"2018-01-26",1.727,1.739,1.727,1.739
"2018-01-29",1.736,1.736,1.732,1.736
"2018-01-30",1.73,1.73,1.728,1.728
"2018-01-31",1.712,1.717,1.71,1.71
"2018-02-01",1.709,1.709,1.709,1.709
"2018-02-02",1.7,1.711,1.7,1.711
"2018-02-05",1.683,1.683,1.677,1.677
"2018-02-07",1.633,1.647,1.633,1.641
"2018-02-08",1.645,1.649,1.644,1.646
"2018-02-09",1.612,1.612,1.6,1.6
"2018-02-12",1.601,1.606,1.601,1.604
"2018-02-13",1.624,1.626,1.624,1.626
"2018-02-14",1.616,1.616,1.616,1.616
"2018-02-15",1.626,1.63,1.625,1.628
"2018-02-16",1.634,1.634,1.626,1.626
"2018-02-19",1.636,1.636,1.634,1.634
"2018-02-20",1.64,1.64,1.64,1.64
"2018-02-21",1.622,1.63,1.622,1.63
"2018-02-22",1.628,1.628,1.628,1.628
"2018-02-23",1.627,1.638,1.627,1.638
"2018-02-26",1.647,1.655,1.647,1.654
"2018-02-27",1.662,1.662,1.662,1.662
"2018-02-28",1.652,1.652,1.65,1.652
"2018-03-01",1.644,1.644,1.632,1.632
"2018-03-02",1.6,1.608,1.6,1.608
"2018-03-05",1.61,1.613,1.608,1.61
"2018-03-06",1.625,1.628,1.623,1.628
"2018-03-07",1.623,1.625,1.623,1.625
"2018-03-08",1.629,1.629,1.629,1.629
"2018-03-09",1.636,1.637,1.635,1.635
"2018-03-12",1.637,1.637,1.634,1.634
"2018-03-13",1.639,1.639,1.637,1.637
"2018-03-14",1.618,1.618,1.615,1.618
"2018-03-15",1.624,1.624,1.62,1.62
"2018-03-16",1.633,1.638,1.633,1.638
"2018-03-19",1.641,1.646,1.641,1.646
"2018-03-20",1.63,1.634,1.63,1.634
"2018-03-21",1.644,1.644,1.638,1.64
"2018-03-22",1.635,1.635,1.63,1.63
"2018-03-23",1.6,1.601,1.594,1.594
"2018-03-26",1.587,1.587,1.579,1.579
"2018-03-27",1.596,1.598,1.596,1.598
"2018-03-28",1.586,1.586,1.585,1.585
"2018-03-29",1.608,1.619,1.603,1.619
"2018-04-03",1.604,1.605,1.604,1.605
"2018-04-04",1.605,1.605,1.6,1.6
"2018-04-05",1.596,1.599,1.594,1.599
"2018-04-06",1.609,1.622,1.609,1.62
"2018-04-09",1.621,1.621,1.611,1.611
"2018-04-10",1.615,1.619,1.613,1.613
"2018-04-11",1.625,1.625,1.62,1.62
"2018-04-12",1.617,1.617,1.613,1.613
"2018-04-13",1.625,1.625,1.622,1.622
"2018-04-16",1.628,1.634,1.623,1.623
"2018-04-17",1.633,1.633,1.627,1.627
"2018-04-18",1.65,1.65,1.65,1.65
"2018-04-19",1.655,1.66,1.655,1.659
"2018-04-20",1.671,1.678,1.671,1.678
"2018-04-23",1.674,1.674,1.674,1.674
"2018-04-24",1.688,1.688,1.688,1.688
"2018-04-26",1.689,1.689,1.684,1.684
"2018-04-27",1.69,1.702,1.69,1.702
"2018-04-30",1.696,1.7,1.695,1.7
"2018-05-01",1.694,1.694,1.69,1.69
"2018-05-02",1.691,1.699,1.691,1.695
"2018-05-03",1.699,1.699,1.699,1.699
"2018-05-04",1.696,1.696,1.696,1.696
"2018-05-07",1.72,1.72,1.711,1.711
"2018-05-08",1.704,1.704,1.704,1.704
"2018-05-09",1.717,1.719,1.717,1.717
"2018-05-10",1.73,1.739,1.73,1.739
"2018-05-11",1.737,1.737,1.732,1.732
"2018-05-14",1.74,1.74,1.74,1.74
"2018-05-15",1.75,1.76,1.75,1.76
"2018-05-16",1.758,1.758,1.758,1.758
"2018-05-17",1.752,1.757,1.752,1.757
"2018-05-18",1.76,1.76,1.759,1.76
"2018-05-21",1.75,1.75,1.747,1.747
"2018-05-22",1.748,1.754,1.748,1.75
"2018-05-23",1.752,1.763,1.752,1.763
