"date","open","high","low","close"
"2018-01-02",6.15,6.16,6.15,6.18
"2018-01-03",6.23,6.25,6.22,6.25
"2018-01-04",6.23,6.25,6.23,6.22
"2018-01-05",6.27,6.29,6.27,6.28
"2018-01-08",6.32,6.37,6.32,6.34
"2018-01-09",6.35,6.37,6.34,6.38
"2018-01-10",6.5,6.5,6.39,6.38
"2018-01-11",6.46,6.47,6.44,6.44
"2018-01-12",6.53,6.54,6.52,6.54
"2018-01-15",6.64,6.65,6.63,6.65
"2018-01-16",6.66,6.66,6.62,6.62
"2018-01-17",6.65,6.69,6.65,6.66
"2018-01-18",6.7,6.7,6.67,6.67
"2018-01-19",6.67,6.68,6.66,6.67
"2018-01-22",6.66,6.75,6.66,6.74
"2018-01-23",6.83,6.85,6.8,6.84
"2018-01-24",6.89,6.92,6.88,6.88
"2018-01-25",6.9,6.93,6.9,6.93
"2018-01-26",6.95,7,6.95,6.98
"2018-01-29",7.11,7.11,7.05,7.05
"2018-01-30",7,7.02,6.96,6.97
"2018-01-31",7.03,7.03,6.98,6.98
"2018-02-01",6.93,6.94,6.88,6.89
"2018-02-02",6.93,6.93,6.85,6.84
"2018-02-05",6.7,6.7,6.67,6.68
"2018-02-06",6.49,6.58,6.45,6.5
"2018-02-07",6.6,6.6,6.49,6.56
"2018-02-08",6.56,6.58,6.47,6.46
"2018-02-09",6.46,6.46,6.34,6.33
"2018-02-12",6.49,6.51,6.48,6.51
"2018-02-13",6.45,6.47,6.45,6.46
"2018-02-14",6.59,6.59,6.52,6.61
"2018-02-15",6.71,6.72,6.7,6.72
"2018-02-16",6.79,6.8,6.75,6.79
"2018-02-19",6.81,6.83,6.74,6.75
"2018-02-20",6.71,6.73,6.68,6.73
"2018-02-21",6.71,6.75,6.69,6.75
"2018-02-22",6.7,6.75,6.7,6.75
"2018-02-23",6.71,6.71,6.7,6.7
"2018-02-26",6.79,6.85,6.79,6.83
"2018-02-27",6.81,6.81,6.8,6.77
"2018-02-28",6.74,6.76,6.71,6.71
"2018-03-01",6.69,6.69,6.61,6.62
"2018-03-02",6.59,6.63,6.56,6.6
"2018-03-05",6.61,6.7,6.61,6.7
"2018-03-06",6.77,6.82,6.75,6.79
"2018-03-07",6.7,6.72,6.7,6.75
"2018-03-08",6.83,6.84,6.82,6.84
"2018-03-09",6.85,6.91,6.85,6.92
"2018-03-12",6.96,6.97,6.96,6.97
"2018-03-13",6.98,7,6.96,6.94
"2018-03-14",6.97,6.97,6.92,6.92
"2018-03-15",6.99,7.03,6.95,6.95
"2018-03-16",7.08,7.08,6.95,6.95
"2018-03-19",6.9,6.92,6.86,6.85
"2018-03-20",6.95,6.95,6.91,6.92
"2018-03-21",6.93,6.94,6.92,6.94
"2018-03-22",6.88,6.88,6.78,6.81
"2018-03-23",6.79,6.79,6.64,6.66
"2018-03-26",6.72,6.75,6.7,6.67
"2018-03-27",6.81,6.82,6.75,6.77
"2018-03-28",6.68,6.73,6.65,6.67
"2018-03-29",6.78,6.82,6.78,6.81
"2018-04-03",6.68,6.69,6.65,6.67
"2018-04-04",6.67,6.67,6.59,6.65
"2018-04-05",6.76,6.76,6.75,6.77
"2018-04-06",6.74,6.75,6.73,6.71
"2018-04-09",6.8,6.8,6.76,6.79
"2018-04-10",6.83,6.83,6.81,6.84
"2018-04-11",6.84,6.84,6.78,6.82
"2018-04-12",6.75,6.75,6.73,6.76
"2018-04-13",6.8,6.81,6.78,6.77
"2018-04-16",6.91,6.91,6.79,6.79
"2018-04-17",6.8,6.84,6.78,6.83
"2018-04-18",6.81,6.83,6.81,6.83
"2018-04-19",6.8,6.8,6.75,6.74
"2018-04-20",6.77,6.77,6.71,6.7
"2018-04-23",6.65,6.65,6.62,6.66
"2018-04-24",6.63,6.65,6.61,6.6
"2018-04-25",6.57,6.57,6.49,6.54
"2018-04-26",6.56,6.6,6.56,6.6
"2018-04-27",6.63,6.63,6.62,6.65
"2018-04-30",6.6,6.62,6.59,6.58
"2018-05-01",6.54,6.54,6.49,6.49
"2018-05-02",6.51,6.51,6.49,6.49
"2018-05-03",6.45,6.49,6.45,6.41
"2018-05-04",6.44,6.46,6.42,6.47
"2018-05-08",6.52,6.52,6.45,6.49
"2018-05-09",6.57,6.57,6.54,6.55
"2018-05-10",6.58,6.61,6.55,6.6
"2018-05-11",6.6,6.64,6.59,6.62
"2018-05-14",6.65,6.66,6.62,6.64
"2018-05-15",6.66,6.67,6.59,6.6
"2018-05-16",6.65,6.66,6.63,6.65
"2018-05-17",6.66,6.67,6.65,6.66
"2018-05-18",6.7,6.71,6.67,6.68
"2018-05-21",6.71,6.72,6.71,6.7
"2018-05-22",6.71,6.72,6.7,6.71
"2018-05-23",6.67,6.67,6.63,6.65
"2018-05-24",6.71,6.72,6.66,6.67
"2018-05-25",6.76,6.76,6.72,6.73
"2018-05-29",6.64,6.64,6.6,6.62
"2018-05-30",6.64,6.68,6.64,6.68
"2018-05-31",6.74,6.74,6.72,6.7
"2018-06-01",6.73,6.76,6.73,6.76
"2018-06-04",6.74,6.78,6.74,6.75
"2018-06-05",6.76,6.77,6.73,6.73
"2018-06-06",6.78,6.78,6.75,6.78
"2018-06-07",6.84,6.84,6.77,6.78
"2018-06-08",6.77,6.77,6.72,6.75
"2018-06-11",6.79,6.8,6.75,6.8
"2018-06-12",6.85,6.86,6.83,6.85
"2018-06-13",6.81,6.86,6.81,6.85
"2018-06-14",6.8,6.82,6.8,6.81
"2018-06-15",6.8,6.81,6.78,6.78
"2018-06-18",6.74,6.74,6.71,6.71
"2018-06-19",6.59,6.66,6.55,6.65
"2018-06-20",6.71,6.75,6.71,6.73
"2018-06-21",6.69,6.72,6.66,6.67
"2018-06-22",6.77,6.77,6.72,6.74
"2018-06-25",6.7,6.7,6.6,6.6
"2018-06-26",6.63,6.63,6.59,6.6
"2018-06-27",6.61,6.62,6.55,6.57
"2018-06-28",6.49,6.49,6.42,6.45
"2018-06-29",6.54,6.57,6.54,6.56
"2018-07-02",6.44,6.44,6.43,6.44
"2018-07-03",6.49,6.5,6.48,6.5
"2018-07-04",6.55,6.55,6.52,6.52
"2018-07-05",6.54,6.57,6.52,6.53
"2018-07-06",6.57,6.64,6.57,6.65
"2018-07-09",6.75,6.75,6.71,6.73
"2018-07-10",6.71,6.72,6.71,6.71
"2018-07-11",6.63,6.68,6.63,6.66
"2018-07-12",6.7,6.71,6.7,6.73
"2018-07-13",6.75,6.77,6.74,6.77
"2018-07-16",6.77,6.78,6.73,6.74
"2018-07-17",6.69,6.74,6.69,6.73
"2018-07-18",6.74,6.74,6.68,6.69
"2018-07-19",6.69,6.69,6.65,6.67
"2018-07-20",6.7,6.72,6.69,6.73
"2018-07-23",6.67,6.67,6.66,6.67
"2018-07-24",6.69,6.73,6.68,6.71
"2018-07-25",6.62,6.69,6.62,6.68
"2018-07-26",6.72,6.74,6.71,6.72
"2018-07-27",6.74,6.75,6.68,6.67
"2018-07-30",6.64,6.65,6.61,6.6
"2018-07-31",6.61,6.63,6.6,6.63
"2018-08-01",6.66,6.72,6.66,6.69
"2018-08-02",6.66,6.67,6.64,6.68
"2018-08-03",6.72,6.74,6.71,6.71
"2018-08-06",6.65,6.67,6.63,6.65
"2018-08-07",6.69,6.71,6.69,6.69
"2018-08-08",6.72,6.72,6.67,6.68
"2018-08-09",6.71,6.77,6.7,6.76
"2018-08-10",6.7,6.71,6.68,6.7
"2018-08-13",6.62,6.64,6.61,6.62
"2018-08-14",6.69,6.69,6.65,6.66
"2018-08-15",6.63,6.64,6.52,6.54
"2018-08-16",6.57,6.59,6.56,6.6
"2018-08-17",6.64,6.66,6.61,6.62
"2018-08-20",6.68,6.7,6.67,6.67
"2018-08-21",6.7,6.78,6.7,6.77
"2018-08-22",6.75,6.84,6.75,6.83
"2018-08-23",6.86,6.86,6.84,6.83
"2018-08-24",6.88,6.89,6.88,6.88
"2018-08-28",6.95,6.97,6.95,6.95
"2018-08-29",6.96,6.99,6.95,6.99
"2018-08-30",7,7,6.96,6.97
"2018-08-31",7.02,7.02,7.01,7
"2018-09-03",7.04,7.04,7.01,7.02
"2018-09-04",7.06,7.06,6.99,6.99
"2018-09-05",6.98,6.98,6.92,6.92
"2018-09-06",6.92,6.92,6.91,6.87
"2018-09-07",6.9,6.9,6.88,6.88
"2018-09-10",6.87,6.87,6.83,6.86
"2018-09-11",6.9,6.9,6.84,6.87
"2018-09-12",6.96,6.97,6.91,6.96
"2018-09-13",6.97,7.02,6.97,6.98
"2018-09-14",7.03,7.04,7.01,7.03
"2018-09-17",7.01,7.01,6.97,6.97
"2018-09-18",6.99,7.06,6.99,7.06
"2018-09-19",7.06,7.06,7.03,7.04
"2018-09-20",7.05,7.1,7.04,7.08
"2018-09-21",7.12,7.14,7.11,7.12
"2018-09-24",7.07,7.11,7.07,7.1
"2018-09-25",7.15,7.2,7.15,7.2
"2018-09-26",7.24,7.24,7.2,7.24
"2018-09-27",7.25,7.25,7.21,7.24
"2018-09-28",7.19,7.22,7.18,7.22
"2018-10-01",7.2,7.21,7.17,7.17
"2018-10-02",7.06,7.07,7.02,7.02
"2018-10-03",7.06,7.06,7.02,7.03
"2018-10-04",7.03,7.03,6.92,6.93
"2018-10-05",6.93,6.93,6.85,6.85
"2018-10-08",6.82,6.82,6.72,6.72
"2018-10-09",6.71,6.72,6.66,6.71
"2018-10-10",6.68,6.68,6.6,6.59
"2018-10-11",6.41,6.51,6.37,6.42
"2018-10-12",6.56,6.56,6.49,6.53
"2018-10-15",6.5,6.5,6.46,6.49
"2018-10-16",6.49,6.61,6.48,6.61
"2018-10-17",6.69,6.7,6.62,6.64
"2018-10-18",6.66,6.66,6.61,6.6
"2018-10-19",6.66,6.67,6.61,6.62
"2018-10-22",6.63,6.63,6.5,6.52
"2018-10-23",6.41,6.41,6.29,6.31
"2018-10-24",6.29,6.37,6.29,6.27
"2018-10-25",6.12,6.19,6.12,6.2
"2018-10-26",6.06,6.07,5.97,6.04
"2018-10-29",6.05,6.12,6.05,6.05
"2018-10-30",6.07,6.1,6.04,6.1
"2018-10-31",6.13,6.2,6.13,6.17
"2018-11-01",6.19,6.29,6.19,6.29
"2018-11-02",6.46,6.47,6.38,6.37
"2018-11-05",6.39,6.41,6.36,6.38
"2018-11-06",6.4,6.41,6.38,6.39
"2018-11-07",6.42,6.53,6.42,6.52
"2018-11-08",6.52,6.55,6.51,6.52
"2018-11-09",6.44,6.44,6.41,6.39
"2018-11-12",6.31,6.31,6.2,6.13
"2018-11-13",6.21,6.21,6.21,6.21
"2018-11-14",6.16,6.22,6.16,6.14
"2018-11-15",6.15,6.15,6.1,6.14
"2018-11-16",6.25,6.27,6.21,6.27
"2018-11-19",6.38,6.38,6.27,6.27
"2018-11-20",6.17,6.17,6.09,6.12
"2018-11-21",6.17,6.19,6.17,6.19
"2018-11-22",6.19,6.19,6.16,6.16
"2018-11-23",6.17,6.18,6.14,6.21
"2018-11-26",6.26,6.27,6.24,6.27
"2018-11-27",6.27,6.27,6.21,6.25
"2018-11-28",6.25,6.32,6.25,6.29
"2018-11-29",6.36,6.43,6.36,6.42
"2018-11-30",6.41,6.46,6.41,6.44
"2018-12-03",6.58,6.63,6.55,6.6
"2018-12-04",6.62,6.63,6.62,6.59
"2018-12-05",6.45,6.49,6.45,6.43
"2018-12-06",6.33,6.34,6.25,6.22
"2018-12-07",6.34,6.35,6.32,6.28
"2018-12-10",6.21,6.21,6.14,6.14
"2018-12-11",6.16,6.27,6.16,6.23
"2018-12-12",6.27,6.37,6.27,6.37
"2018-12-13",6.4,6.4,6.29,6.29
"2018-12-14",6.17,6.2,6.17,6.18
"2018-12-17",6.11,6.13,6.04,6.11
"2018-12-18",6.01,6.1,6.01,6.02
"2018-12-19",6.02,6.05,6.02,6.05
"2018-12-20",5.87,5.93,5.84,5.84
"2018-12-21",5.82,5.83,5.76,5.79
"2018-12-24",5.75,5.75,5.69,5.66
"2018-12-27",5.83,5.83,5.77,5.77
"2018-12-28",5.89,5.89,5.89,5.89
"2018-12-31",5.92,5.94,5.92,5.94
"2019-01-02",5.82,5.93,5.81,5.91
"2019-01-03",5.81,5.87,5.8,5.83
"2019-01-04",5.86,6.01,5.86,6
"2019-01-07",6.04,6.12,6.03,6.11
"2019-01-08",6.11,6.16,6.1,6.12
"2019-01-09",6.23,6.28,6.23,6.28
"2019-01-10",6.27,6.28,6.26,6.3
"2019-01-11",6.33,6.34,6.27,6.28
"2019-01-14",6.24,6.24,6.21,6.22
"2019-01-15",6.24,6.27,6.21,6.26
"2019-01-16",6.3,6.34,6.3,6.32
"2019-01-17",6.26,6.29,6.24,6.29
"2019-01-18",6.35,6.36,6.33,6.36
"2019-01-21",6.35,6.36,6.34,6.35
"2019-01-22",6.32,6.34,6.32,6.3
"2019-01-23",6.3,6.32,6.28,6.27
"2019-01-24",6.31,6.35,6.31,6.32
"2019-01-25",6.33,6.37,6.33,6.36
"2019-01-28",6.34,6.34,6.27,6.28
"2019-01-29",6.29,6.3,6.26,6.27
"2019-01-30",6.2525,6.2775,6.245,6.2575
"2019-01-31",6.3475,6.3625,6.335,6.36625
"2019-02-01",6.38,6.3875,6.3625,6.37
"2019-02-04",6.3875,6.3975,6.3625,6.37375
"2019-02-05",6.3925,6.45,6.38,6.44875
"2019-02-06",6.4325,6.4325,6.4025,6.4225
"2019-02-07",6.3875,6.3875,6.305,6.30375
"2019-02-08",6.295,6.3075,6.28,6.29125
"2019-02-11",6.3625,6.3625,6.3425,6.35
"2019-02-12",6.385,6.42,6.3825,6.41875
"2019-02-13",6.4575,6.4625,6.4375,6.43125
"2019-02-14",6.455,6.4675,6.435,6.44625
"2019-02-15",6.4275,6.525,6.42,6.52375
"2019-02-18",6.585,6.585,6.5525,6.56125
"2019-02-19",6.5575,6.5675,6.545,6.5675
"2019-02-20",6.55,6.5725,6.545,6.56875
"2019-02-21",6.5725,6.5775,6.51,6.50625
"2019-02-22",6.515,6.515,6.49,6.51875
"2019-02-25",6.5575,6.6,6.5425,6.575
"2019-02-26",6.57,6.5875,6.565,6.57375
"2019-02-27",6.6325,6.6325,6.5575,6.60125
"2019-02-28",6.57,6.6,6.57,6.58375
"2019-03-01",6.6425,6.675,6.62,6.655
"2019-03-04",6.7275,6.7625,6.6725,6.68125
"2019-03-05",6.72,6.72,6.6875,6.71375
"2019-03-06",6.6925,6.7,6.64,6.63875
"2019-03-07",6.585,6.585,6.5025,6.53375
"2019-03-08",6.5025,6.5025,6.4425,6.48125
"2019-03-11",6.5375,6.5475,6.5125,6.56875
"2019-03-12",6.6525,6.6575,6.63,6.66125
"2019-03-13",6.6475,6.7175,6.64,6.7075
"2019-03-14",6.6875,6.6875,6.65,6.66875
"2019-03-15",6.6775,6.715,6.67,6.70875
"2019-03-18",6.72,6.725,6.6675,6.66625
"2019-03-19",6.6675,6.7225,6.6675,6.71625
"2019-03-20",6.715,6.725,6.6775,6.67125
"2019-03-21",6.645,6.68,6.605,6.66625
"2019-03-22",6.6225,6.635,6.5475,6.53125
"2019-03-25",6.48,6.4925,6.4425,6.46875
"2019-03-26",6.4975,6.56,6.4975,6.54875
"2019-03-27",6.53,6.53,6.415,6.4425
"2019-03-28",6.455,6.46,6.45,6.4725
"2019-03-29",6.495,6.56,6.495,6.56
"2019-04-01",6.59,6.615,6.575,6.5775
"2019-04-02",6.6,6.6,6.525,6.535
"2019-04-03",6.63,6.63,6.5975,6.59375
"2019-04-04",6.6075,6.6075,6.53,6.53
"2019-04-05",6.5175,6.57,6.5175,6.57875
"2019-04-08",6.5625,6.57,6.52,6.5475
"2019-04-09",6.55,6.565,6.54,6.54625
"2019-04-10",6.5375,6.5775,6.5325,6.5775
"2019-04-11",6.5775,6.6,6.5525,6.5525
"2019-04-12",6.54,6.5625,6.535,6.555
"2019-04-15",6.545,6.5475,6.5,6.51125
"2019-04-16",6.51,6.5275,6.4975,6.49375
"2019-04-17",6.48,6.48,6.335,6.32875
"2019-04-18",6.25,6.255,6.19,6.18875
"2019-04-23",6.215,6.3075,6.215,6.30125
"2019-04-24",6.315,6.3275,6.275,6.29125
"2019-04-25",6.2725,6.2725,6.2175,6.24875
"2019-04-26",6.2475,6.27,6.2475,6.2775
"2019-04-29",6.275,6.3125,6.275,6.31375
"2019-04-30",6.3125,6.3125,6.2625,6.27125
"2019-05-01",6.3275,6.3275,6.275,6.29125
"2019-05-02",6.2475,6.27,6.2175,6.23375
"2019-05-03",6.275,6.3325,6.2725,6.33375
"2019-05-07",6.32,6.3425,6.2375,6.22875
"2019-05-08",6.195,6.2325,6.1825,6.21625
"2019-05-09",6.115,6.13,6.0925,6.0825
"2019-05-10",6.15,6.1625,6.0825,6.08625
"2019-05-13",6.0675,6.08,5.985,5.985
"2019-05-14",6.015,6.075,6.0125,6.0725
"2019-05-15",6.1175,6.1175,6.0525,6.1225
"2019-05-16",6.1,6.1975,6.1,6.19375
"2019-05-17",6.1525,6.1575,6.1225,6.1575
"2019-05-20",6.115,6.1175,6.0275,6.075
"2019-05-21",6.09,6.13,6.09,6.12625
"2019-05-22",6.145,6.1575,6.125,6.135
"2019-05-23",6.12,6.12,6.0775,6.08875
"2019-05-24",6.1,6.16,6.1,6.13125
"2019-05-28",6.17,6.17,6.15,6.16375
"2019-05-29",6.1025,6.1025,6.025,6.01375
"2019-05-30",6.045,6.045,6.0075,6.03
"2019-05-31",6,6.02,5.9875,6.025
"2019-06-03",5.985,6.065,5.98,6.07625
"2019-06-04",6.03,6.09,6.0275,6.09
"2019-06-05",6.145,6.155,6.11,6.135
"2019-06-06",6.1425,6.155,6.1325,6.12
"2019-06-07",6.13,6.17,6.1175,6.17375
"2019-06-10",6.205,6.215,6.1825,6.21125
"2019-06-11",6.2275,6.26,6.2175,6.2175
"2019-06-12",6.21,6.2175,6.2,6.2
"2019-06-13",6.2225,6.2425,6.215,6.22375
"2019-06-14",6.23,6.23,6.185,6.195
"2019-06-17",6.175,6.2,6.1475,6.2
"2019-06-18",6.215,6.2725,6.215,6.26375
"2019-06-19",6.255,6.275,6.2475,6.28375
"2019-06-20",6.33,6.4,6.33,6.365
"2019-06-21",6.305,6.32,6.2775,6.29625
"2019-06-24",6.3,6.3375,6.2575,6.275
"2019-06-25",6.2025,6.265,6.2,6.265
