"date","open","high","low","close"
"2019-06-05",1.77675,1.77675,1.77675,1.77675
"2019-06-06",1.79,1.79,1.79,1.79
"2019-06-07",1.79,1.79,1.79,1.79
"2019-06-10",1.81,1.81,1.81,1.81
"2019-06-11",1.83,1.83,1.83,1.83
"2019-06-12",1.84,1.84,1.84,1.84
"2019-06-13",1.82,1.83,1.82,1.83
"2019-06-14",1.82,1.82,1.82,1.82
"2019-06-17",1.83,1.83,1.83,1.83
"2019-06-18",1.84,1.84,1.84,1.84
"2019-06-19",1.85,1.85,1.85,1.85
"2019-06-20",1.84,1.84,1.84,1.84
"2019-06-21",1.85,1.85,1.85,1.85
"2019-06-24",1.84,1.84,1.84,1.84
"2019-06-25",1.83,1.83,1.83,1.83
"2019-06-26",1.83,1.83,1.83,1.83
"2019-06-27",1.81,1.81,1.81,1.81
"2019-06-28",1.81,1.81,1.81,1.81
"2019-07-01",1.82,1.82,1.82,1.82
"2019-07-02",1.85,1.85,1.85,1.85
"2019-07-03",1.85,1.85,1.85,1.85
"2019-07-04",1.86,1.86,1.86,1.86
"2019-07-05",1.87,1.87,1.87,1.87
"2019-07-08",1.87,1.87,1.87,1.87
"2019-07-09",1.86,1.86,1.84,1.84
"2019-07-10",1.85,1.85,1.85,1.85
"2019-07-11",1.85,1.85,1.85,1.85
"2019-07-12",1.85,1.85,1.85,1.85
"2019-07-15",1.82,1.84,1.82,1.84
"2019-07-16",1.84,1.84,1.82,1.82
"2019-07-17",1.83,1.83,1.81,1.82
"2019-07-18",1.81,1.82,1.8,1.8
"2019-07-19",1.8,1.8,1.77,1.77
"2019-07-22",1.81,1.81,1.81,1.81
"2019-07-23",1.81,1.81,1.8,1.8
"2019-07-24",1.84,1.84,1.84,1.84
"2019-07-25",1.839,1.84,1.82,1.84
"2019-07-26",1.839,1.839,1.83,1.83
"2019-07-29",1.848,1.848,1.84,1.84
"2019-07-30",1.85,1.85,1.83,1.83
"2019-07-31",1.82,1.84,1.82,1.83
"2019-08-01",1.87,1.87,1.85,1.85
"2019-08-02",1.862,1.862,1.862,1.862
"2019-08-05",1.862,1.87,1.85,1.85
"2019-08-06",1.89,1.89,1.86,1.86
"2019-08-07",1.81,1.81,1.8,1.8
"2019-08-08",1.84,1.86,1.83,1.83
"2019-08-09",1.85,1.87,1.85,1.87
"2019-08-12",1.85,1.85,1.83,1.83
"2019-08-13",1.85,1.85,1.83,1.85
"2019-08-14",1.84,1.85,1.84,1.85
"2019-08-15",1.83,1.83,1.83,1.83
"2019-08-16",1.81,1.83,1.81,1.83
"2019-08-19",1.86,1.87,1.84,1.86
"2019-08-20",1.85,1.85,1.85,1.85
"2019-08-21",1.86,1.86,1.84,1.86
"2019-08-22",1.861,1.88,1.861,1.87
"2019-08-23",1.87,1.87,1.87,1.87
"2019-08-26",1.88,1.88,1.85,1.85
"2019-08-27",1.86,1.86,1.85,1.85
"2019-08-28",1.88,1.88,1.88,1.88
"2019-08-29",1.88,1.89,1.88,1.88
"2019-08-30",1.88,1.9,1.88,1.9
"2019-09-02",1.89,1.9,1.89,1.9
"2019-09-03",1.92,1.92,1.9,1.9
"2019-09-04",1.9,1.9,1.88,1.88
"2019-09-05",1.91,1.91,1.9,1.9
"2019-09-06",1.92,1.92,1.92,1.92
"2019-09-09",1.91,1.92,1.9,1.92
"2019-09-10",1.94,1.94,1.93,1.93
"2019-09-11",1.93,1.94,1.92,1.92
"2019-09-12",1.94,1.94,1.94,1.94
