"date","open","high","low","close"
"2019-06-05",2.30912,2.30912,2.30912,2.30912
"2019-06-06",2.33,2.33,2.33,2.33
"2019-06-07",2.33,2.34,2.32,2.32
"2019-06-10",2.34,2.36,2.34,2.36
"2019-06-11",2.37,2.38,2.37,2.38
"2019-06-12",2.38,2.38,2.378,2.38
"2019-06-13",2.37,2.37,2.37,2.37
"2019-06-14",2.39,2.395,2.39,2.395
"2019-06-17",2.4,2.4,2.39,2.39
"2019-06-18",2.4,2.4,2.4,2.4
"2019-06-19",2.42,2.42,2.41,2.41
"2019-06-20",2.4,2.4,2.4,2.4
"2019-06-21",2.43,2.43,2.42,2.42
"2019-06-24",2.405,2.41,2.405,2.41
"2019-06-25",2.4,2.4,2.381,2.381
"2019-06-26",2.38,2.38,2.38,2.38
"2019-06-27",2.33,2.33,2.33,2.33
"2019-06-28",2.33,2.34,2.33,2.34
"2019-07-01",2.39,2.395,2.39,2.39
"2019-07-02",2.43,2.43,2.42,2.43
"2019-07-03",2.42,2.42,2.42,2.42
"2019-07-04",2.43,2.43,2.43,2.43
"2019-07-05",2.45,2.46,2.45,2.46
"2019-07-08",2.46,2.46,2.43,2.43
"2019-07-09",2.41,2.41,2.39,2.39
"2019-07-10",2.42,2.42,2.42,2.42
"2019-07-11",2.41,2.41,2.4,2.4
"2019-07-12",2.39,2.39,2.39,2.39
"2019-07-15",2.36,2.38,2.35,2.35
"2019-07-16",2.37,2.37,2.35,2.36
"2019-07-17",2.36,2.38,2.36,2.36
"2019-07-18",2.35,2.36,2.34,2.36
"2019-07-19",2.36,2.36,2.33,2.33
"2019-07-22",2.36,2.36,2.35,2.35
"2019-07-23",2.36,2.36,2.34,2.35
"2019-07-24",2.34,2.36,2.34,2.36
"2019-07-25",2.35,2.37,2.35,2.36
"2019-07-26",2.37,2.38,2.37,2.37
"2019-07-29",2.391,2.391,2.38,2.38
"2019-07-30",2.39,2.39,2.37,2.37
"2019-07-31",2.4,2.42,2.4,2.4
"2019-08-01",2.46,2.48,2.45,2.46
"2019-08-02",2.47,2.47,2.45,2.45
"2019-08-05",2.4,2.4,2.38,2.38
"2019-08-06",2.4,2.4,2.28,2.34
"2019-08-07",2.3,2.33,2.28,2.33
"2019-08-08",2.36,2.36,2.34,2.34
"2019-08-09",2.39,2.39,2.37,2.37
"2019-08-12",2.37,2.37,2.35,2.36
"2019-08-13",2.37,2.37,2.35,2.35
"2019-08-14",2.35,2.37,2.35,2.35
"2019-08-15",2.37,2.37,2.32,2.33
