"date","open","high","low","close"
"2018-01-01",0.52583,0.52657,0.5228,0.5256
"2018-01-02",0.52454,0.52702,0.52249,0.52446
"2018-01-03",0.52217,0.52533,0.5203,0.52211
"2018-01-04",0.52447,0.52762,0.5234,0.52445
"2018-01-05",0.5278,0.52925,0.5267,0.52786
"2018-01-08",0.52818,0.53033,0.5278,0.52803
"2018-01-09",0.52854,0.5318,0.5279,0.52859
"2018-01-10",0.52799,0.53392,0.5278,0.52781
"2018-01-11",0.53316,0.53655,0.5318,0.53316
"2018-01-12",0.5361,0.53651,0.52794,0.53603
"2018-01-15",0.52775,0.53045,0.5275,0.52769
"2018-01-16",0.5288,0.52925,0.5269,0.52865
"2018-01-17",0.52652,0.52755,0.5249,0.52665
"2018-01-18",0.52584,0.5277,0.52431,0.52581
"2018-01-19",0.52489,0.52602,0.52389,0.52504
"2018-01-22",0.5245,0.52597,0.5238,0.52451
"2018-01-23",0.5231,0.52606,0.523,0.52325
"2018-01-24",0.52527,0.52552,0.52109,0.52523
"2018-01-25",0.51608,0.51755,0.51375,0.51578
"2018-01-26",0.51656,0.51909,0.51509,0.51651
"2018-01-29",0.52022,0.5218,0.51819,0.52022
"2018-01-30",0.52042,0.5221,0.5187,0.52029
"2018-01-31",0.51844,0.52381,0.51819,0.5182
"2018-02-01",0.51922,0.51947,0.51532,0.51928
"2018-02-02",0.51854,0.51854,0.516,0.5184
"2018-02-05",0.51603,0.521,0.51593,0.51591
"2018-02-06",0.521,0.52704,0.51995,0.52103
"2018-02-07",0.52501,0.52701,0.52298,0.52511
"2018-02-08",0.52084,0.52084,0.5138,0.52062
"2018-02-09",0.5183,0.52593,0.51592,0.51841
"2018-02-12",0.52396,0.52471,0.5222,0.52402
"2018-02-13",0.52418,0.52722,0.52322,0.52421
"2018-02-14",0.5243,0.52788,0.5234,0.52435
"2018-02-15",0.52605,0.5277,0.5239,0.526
"2018-02-16",0.52453,0.52718,0.5239,0.52445
"2018-02-19",0.5263,0.52748,0.5261,0.52638
"2018-02-20",0.5261,0.52741,0.52444,0.52617
