"date","open","high","low","close"
"2018-01-02",7.72,7.72,7.609,7.655
"2018-01-03",7.72,7.77,7.7075,7.77
"2018-01-04",7.8375,7.8925,7.825,7.8875
"2018-01-05",7.9125,7.93,7.8975,7.93125
"2018-01-08",8,8,7.89,7.9275
"2018-01-09",7.9575,7.9825,7.9325,7.945
"2018-01-10",7.925,7.925,7.8675,7.8825
"2018-01-11",7.9175,7.9625,7.91,7.95375
"2018-01-12",8.055,8.1025,8.05,8.1025
"2018-01-15",8.1475,8.1575,8.135,8.145
"2018-01-16",8.235,8.2525,8.2125,8.2375
"2018-01-17",8.215,8.2425,8.1975,8.23
"2018-01-18",8.26,8.3,8.2425,8.2825
"2018-01-19",8.31,8.3575,8.3075,8.3475
"2018-01-22",8.365,8.3925,8.355,8.385
"2018-01-23",8.4375,8.4425,8.39,8.435
"2018-01-24",8.44,8.4625,8.4,8.4
"2018-01-25",8.405,8.445,8.3725,8.395
"2018-01-26",8.41,8.4575,8.4025,8.455
"2018-01-29",8.525,8.525,8.46,8.465
"2018-01-30",8.3875,8.4175,8.325,8.34625
"2018-01-31",8.3925,8.4225,8.36,8.36
"2018-02-01",8.36,8.37,8.2875,8.3375
"2018-02-02",8.35,8.35,8.21,8.2225
"2018-02-05",8.0725,8.0725,7.9875,8.01625
"2018-02-06",7.25,7.815,7,7.72
"2018-02-07",7.7325,7.91,7.7225,7.8775
"2018-02-08",7.795,7.795,7.6125,7.6
"2018-02-09",7.561,7.601,7.461,7.503
"2018-02-12",7.61,7.67,7.5825,7.6375
"2018-02-13",7.6125,7.6375,7.595,7.6075
"2018-02-14",7.6625,7.7125,7.555,7.7025
"2018-02-15",7.915,7.92,7.87,7.88
"2018-02-16",7.99,8.0175,7.94,7.97
"2018-02-19",7.93,7.9975,7.925,7.9275
"2018-02-20",7.94,7.985,7.8775,7.9775
"2018-02-21",8.0075,8.0425,7.9825,8.0325
"2018-02-22",7.9175,7.995,7.9125,7.99
"2018-02-23",8.0125,8.0125,7.96,7.98125
"2018-02-26",8.0625,8.085,8.035,8.0575
"2018-02-27",8.13,8.145,8.0775,8.075
"2018-02-28",8.06,8.0675,8.0175,8.02
"2018-03-01",7.9875,7.9875,7.87,7.92
"2018-03-02",7.8975,7.8975,7.7675,7.8025
"2018-03-05",7.8125,7.93,7.8125,7.925
"2018-03-06",8,8.08,8,8.035
"2018-03-07",7.96,8.0625,7.96,8.0425
"2018-03-08",8.075,8.125,8.065,8.11375
"2018-03-09",8.1,8.21,8.1,8.2075
"2018-03-12",8.2725,8.2725,8.215,8.23625
"2018-03-13",8.28,8.305,8.215,8.225
"2018-03-14",8.225,8.2675,8.18,8.205
"2018-03-15",8.2725,8.2725,8.2325,8.24
"2018-03-16",8.2175,8.2275,8.21,8.2025
"2018-03-19",8.16,8.16,8.075,8.08
"2018-03-20",8.1075,8.1575,8.1075,8.1425
"2018-03-21",8.165,8.195,8.145,8.1925
"2018-03-22",8.15,8.1575,8.0075,8.05625
"2018-03-23",7.955,7.955,7.8525,7.8975
"2018-03-26",7.93,7.9875,7.885,7.895
"2018-03-27",8.09,8.1025,8.0275,8.0375
"2018-03-28",7.9325,7.9325,7.825,7.845
"2018-03-29",7.8775,7.96,7.8675,7.935
"2018-04-03",7.9375,7.9375,7.8225,7.85
"2018-04-04",7.7725,7.7925,7.665,7.765
"2018-04-05",7.895,7.9075,7.88,7.91
"2018-04-06",7.8275,7.8275,7.7775,7.7825
"2018-04-09",7.8125,7.815,7.765,7.81125
"2018-04-10",7.885,7.905,7.8625,7.8925
"2018-04-11",7.9,7.915,7.8425,7.9075
"2018-04-12",7.8775,7.9275,7.85,7.91
"2018-04-13",7.97,7.9925,7.91,7.92375
"2018-04-16",8.1175,8.1175,7.965,7.96625
"2018-04-17",8.0025,8.0575,7.98,8.05
"2018-04-18",8.0625,8.0925,8.04,8.085
"2018-04-19",8.055,8.0675,7.9725,7.9925
"2018-04-20",7.9475,7.965,7.895,7.89
"2018-04-23",7.885,7.885,7.84,7.87625
"2018-04-24",7.8125,7.84,7.78,7.79375
"2018-04-25",7.665,7.67,7.5725,7.6225
"2018-04-26",7.64,7.6975,7.62,7.6825
"2018-04-27",7.7025,7.725,7.6575,7.66875
"2018-04-30",7.715,7.72,7.6925,7.695
"2018-05-01",7.6675,7.6675,7.585,7.605
"2018-05-02",7.6775,7.695,7.655,7.675
"2018-05-03",7.655,7.6675,7.575,7.5825
"2018-05-04",7.6575,7.6875,7.6125,7.6925
"2018-05-08",7.77,7.77,7.72,7.75
"2018-05-09",7.765,7.795,7.765,7.78
"2018-05-10",7.82,7.8725,7.82,7.865
"2018-05-11",7.905,7.91,7.865,7.8925
"2018-05-14",7.935,7.935,7.9025,7.91375
"2018-05-15",7.87,7.87,7.79,7.79875
"2018-05-16",7.8175,7.825,7.785,7.80875
"2018-05-17",7.8275,7.86,7.8025,7.85125
"2018-05-18",7.84,7.84,7.785,7.8025
"2018-05-21",7.86,7.8875,7.8525,7.855
"2018-05-22",7.8475,7.905,7.8475,7.8925
"2018-05-23",7.8725,7.8725,7.7975,7.8225
"2018-05-24",7.8575,7.88,7.8,7.8225
