"date","open","high","low","close"
"2018-10-19",4.94,4.94,4.94,4.94
"2018-10-22",5,5,5,5
"2018-10-23",4.8819,4.8819,4.8819,4.8819
"2018-10-24",4.8451,4.8451,4.8451,4.8451
"2018-10-25",4.8189,4.8189,4.8189,4.8189
"2018-10-26",4.7698,4.7698,4.7698,4.7698
"2018-10-29",4.7472,4.7472,4.7472,4.7472
"2018-10-30",4.7519,4.7519,4.7519,4.7519
"2018-10-31",4.8482,4.8482,4.8482,4.8482
"2018-11-01",4.9306,4.9306,4.9306,4.9306
"2018-11-02",5.0599,5.0599,5.0599,5.0599
"2018-11-05",5.0347,5.0347,5.0347,5.0347
"2018-11-06",5.0371,5.0371,5.0371,5.0371
"2018-11-07",5.112,5.112,5.112,5.1255
"2018-11-08",5.0725,5.0725,5.0725,5.0725
"2018-11-09",4.948,4.948,4.948,4.948
"2018-11-12",4.8765,4.8765,4.8765,4.8765
"2018-11-13",4.97625,4.97625,4.97625,4.97625
"2018-11-14",4.96,4.96,4.96,4.96
"2018-11-15",5.0345,5.0345,5.0345,5.0345
"2018-11-16",5.052,5.052,5.052,5.052
"2018-11-19",5.074,5.074,5.07,5.0355
"2018-11-20",4.963,4.963,4.963,4.9305
"2018-11-21",5.027,5.027,5.027,5.027
"2018-11-22",4.969,4.969,4.969,4.969
"2018-11-23",4.958,4.958,4.958,4.958
"2018-11-26",5.0185,5.0185,5.0185,5.0185
"2018-11-27",5.0285,5.0285,5.0285,5.0285
"2018-11-28",5.0565,5.0565,5.0565,5.0565
"2018-11-29",5.1215,5.1215,5.1215,5.1215
"2018-11-30",5.084,5.084,5.084,5.084
"2018-12-03",5.208,5.208,5.208,5.208
"2018-12-04",5.218,5.218,5.206,5.189
"2018-12-05",5.1205,5.1205,5.1205,5.1205
"2018-12-06",4.94275,4.94275,4.94275,4.94275
"2018-12-07",5.0115,5.0115,5.0115,5.0115
"2018-12-10",4.8575,4.8575,4.8575,4.8575
"2018-12-11",4.9455,4.9455,4.9455,4.9455
"2018-12-12",5.052,5.052,5.052,5.052
"2018-12-13",5.0395,5.0395,5.0395,5.0395
"2018-12-14",4.9955,4.9955,4.9955,4.9955
"2018-12-17",4.97275,4.97275,4.97275,4.97275
"2018-12-18",4.94625,4.94625,4.94625,4.94625
"2018-12-19",4.9835,4.9835,4.9835,4.9835
"2018-12-20",4.9175,4.9175,4.9175,4.9175
"2018-12-21",4.9205,4.9205,4.9205,4.9205
"2018-12-24",4.8535,4.8535,4.8535,4.8535
"2018-12-27",4.876,4.876,4.876,4.876
"2018-12-28",4.95275,4.95275,4.95275,4.95275
"2018-12-31",5.0005,5.0005,5.0005,5.0005
"2019-01-02",4.94375,4.94375,4.94375,4.94375
"2019-01-03",4.883,4.883,4.883,4.8665
"2019-01-04",4.9945,4.9945,4.9945,4.9945
"2019-01-07",5.004,5.004,5.004,5.004
"2019-01-08",5.01,5.01,5.01,5.01
"2019-01-09",5.1175,5.1175,5.1175,5.1175
"2019-01-10",5.132,5.132,5.132,5.132
"2019-01-11",5.139,5.139,5.139,5.139
"2019-01-14",5.078,5.078,5.078,5.097
"2019-01-15",5.142,5.142,5.142,5.142
"2019-01-16",5.2025,5.2025,5.2025,5.2025
"2019-01-17",5.1825,5.1825,5.1825,5.1825
"2019-01-18",5.2505,5.2505,5.2505,5.2505
"2019-01-21",5.22,5.22,5.22,5.22
"2019-01-22",5.1765,5.1765,5.1765,5.1765
"2019-01-23",5.19,5.19,5.19,5.19
