"date","open","high","low","close"
"2018-10-19",4.99,4.99,4.99,4.99
"2018-10-22",4.97,4.97,4.97,4.97
"2018-10-23",4.4375,4.4375,4.4375,4.4375
"2018-10-24",4.4375,4.4375,4.4375,4.4375
"2018-10-25",4.4375,4.4375,4.4375,4.4375
"2018-10-26",4.4375,4.4375,4.4375,4.4375
"2018-10-29",4.4375,4.4375,4.4375,4.4375
"2018-10-30",4.4375,4.4375,4.4375,4.4375
"2018-10-31",4.4375,4.4375,4.4375,4.4375
"2018-11-01",4.4375,4.4375,4.4375,4.4375
"2018-11-02",4.4375,4.4375,4.4375,4.4375
"2018-11-05",4.4375,4.4375,4.4375,4.4375
"2018-11-06",4.4375,4.4375,4.4375,4.4375
"2018-11-07",4.4375,4.4375,4.4375,4.4375
"2018-11-08",4.438,4.438,4.428,4.4375
"2018-11-09",4.4375,4.4375,4.4375,4.4375
"2018-11-12",4.4375,4.4375,4.4375,4.4375
"2018-11-13",4.4375,4.4375,4.4375,4.4375
"2018-11-14",4.4375,4.4375,4.4375,4.4375
"2018-11-15",4.4375,4.4375,4.4375,4.4375
"2018-11-16",4.4375,4.4375,4.4375,4.4375
"2018-11-19",4.4515,4.463,4.439,4.42375
"2018-11-20",4.42375,4.42375,4.42375,4.42375
"2018-11-21",4.42375,4.42375,4.42375,4.42375
"2018-11-22",4.385,4.385,4.381,4.36775
"2018-11-23",4.371,4.371,4.3665,4.38525
"2018-11-26",4.38525,4.38525,4.38525,4.38525
"2018-11-27",4.38525,4.38525,4.38525,4.38525
"2018-11-28",4.38525,4.38525,4.38525,4.38525
"2018-11-29",4.38525,4.38525,4.38525,4.38525
"2018-11-30",4.38525,4.38525,4.38525,4.38525
"2018-12-03",4.38525,4.38525,4.38525,4.38525
"2018-12-04",4.4985,4.4985,4.4985,4.468
"2018-12-05",4.468,4.468,4.468,4.468
"2018-12-06",4.3445,4.3445,4.3445,4.2575
"2018-12-07",4.2575,4.2575,4.2575,4.2575
"2018-12-10",4.2575,4.2575,4.2575,4.2575
"2018-12-11",4.2575,4.2575,4.2575,4.2575
"2018-12-12",4.2575,4.2575,4.2575,4.2575
"2018-12-13",4.2575,4.2575,4.2575,4.2575
"2018-12-14",4.2575,4.2575,4.2575,4.2575
"2018-12-17",4.2575,4.2575,4.2575,4.2575
"2018-12-18",4.2575,4.2575,4.2575,4.2575
"2018-12-19",4.2575,4.2575,4.2575,4.2575
"2018-12-20",4.266,4.2695,4.26,4.24775
"2018-12-21",4.24775,4.24775,4.24775,4.24775
"2018-12-24",4.24775,4.24775,4.24775,4.24775
"2018-12-27",4.24775,4.24775,4.24775,4.24775
"2018-12-28",4.24775,4.24775,4.24775,4.24775
"2018-12-31",4.24775,4.24775,4.24775,4.24775
"2019-01-02",4.24775,4.24775,4.24775,4.24775
"2019-01-03",4.24775,4.24775,4.24775,4.24775
"2019-01-04",4.24775,4.24775,4.24775,4.24775
"2019-01-07",4.24775,4.24775,4.24775,4.24775
"2019-01-08",4.24775,4.24775,4.24775,4.24775
"2019-01-09",4.24775,4.24775,4.24775,4.24775
"2019-01-10",4.24775,4.24775,4.24775,4.24775
"2019-01-11",4.3545,4.3545,4.3545,4.34825
"2019-01-14",4.312,4.312,4.307,4.29975
"2019-01-15",4.29975,4.29975,4.29975,4.29975
"2019-01-16",4.29975,4.29975,4.29975,4.29975
"2019-01-17",4.29975,4.29975,4.29975,4.29975
"2019-01-18",4.37775,4.37775,4.37775,4.37775
"2019-01-21",4.36825,4.36825,4.36825,4.36825
"2019-01-22",4.33325,4.33325,4.33325,4.33325
"2019-01-23",4.3035,4.3035,4.3035,4.3035
"2019-01-24",4.31175,4.31175,4.31175,4.31175
"2019-01-25",4.3185,4.3185,4.3185,4.3185
"2019-01-28",4.297,4.297,4.297,4.297
"2019-01-29",4.32525,4.32525,4.32525,4.32525
"2019-01-30",4.36325,4.36325,4.36325,4.36325
"2019-01-31",4.35225,4.35225,4.35225,4.35225
"2019-02-01",4.38875,4.38875,4.38875,4.38875
"2019-02-04",4.374,4.374,4.374,4.374
"2019-02-05",4.47575,4.47575,4.47575,4.47575
"2019-02-06",4.46925,4.46925,4.46925,4.46925
"2019-02-07",4.393,4.393,4.393,4.393
"2019-02-08",4.36625,4.36625,4.36625,4.36625
"2019-02-11",4.41225,4.41225,4.41225,4.41225
"2019-02-12",4.43675,4.43675,4.43675,4.43675
"2019-02-13",4.4545,4.4545,4.4545,4.4545
"2019-02-14",4.47375,4.47375,4.47375,4.47375
"2019-02-15",4.50075,4.50075,4.50075,4.50075
"2019-02-18",4.503,4.503,4.503,4.503
"2019-02-19",4.46075,4.46075,4.46075,4.46075
"2019-02-20",4.48975,4.48975,4.48975,4.48975
"2019-02-21",4.477,4.477,4.477,4.477
"2019-02-22",4.496,4.496,4.496,4.496
"2019-02-25",4.5015,4.5015,4.5015,4.5015
"2019-02-26",4.461,4.461,4.461,4.46325
"2019-02-27",4.4325,4.4325,4.4325,4.4325
"2019-02-28",4.45675,4.45675,4.45675,4.45675
"2019-03-01",4.48925,4.48925,4.48925,4.48925
"2019-03-04",4.4955,4.4955,4.4955,4.4955
"2019-03-05",4.5165,4.5165,4.5165,4.50975
"2019-03-06",4.5015,4.5015,4.5015,4.50875
"2019-03-07",4.46525,4.46525,4.46525,4.46525
"2019-03-08",4.4635,4.4635,4.4635,4.4635
"2019-03-11",4.4705,4.4705,4.4705,4.46575
"2019-03-12",4.49525,4.49525,4.49525,4.49525
"2019-03-13",4.481,4.481,4.481,4.481
"2019-03-14",4.514,4.514,4.514,4.5025
"2019-03-15",4.535,4.535,4.535,4.535
"2019-03-18",4.5695,4.5695,4.5695,4.5695
"2019-03-19",4.59175,4.59175,4.59175,4.59175
"2019-03-20",4.58,4.58,4.58,4.58
"2019-03-21",4.6365,4.6365,4.6365,4.6365
"2019-03-22",4.48725,4.48725,4.48725,4.48725
"2019-03-25",4.49625,4.49625,4.49625,4.49625
"2019-03-26",4.5065,4.5065,4.5065,4.5015
"2019-03-27",4.5145,4.5145,4.5145,4.4905
"2019-03-28",4.52125,4.52125,4.52125,4.52125
"2019-03-29",4.563,4.563,4.563,4.563
