"date","open","high","low","close"
"2018-10-19",4.92,4.92,4.92,4.92
"2018-10-22",4.9,4.9,4.9,4.9
"2018-10-23",4.8119,4.8119,4.8119,4.8119
"2018-10-24",4.7887,4.7887,4.7887,4.7887
"2018-10-25",4.6428,4.6428,4.6428,4.6428
"2018-10-26",4.683,4.683,4.683,4.683
"2018-10-29",4.6215,4.6215,4.6215,4.6215
"2018-10-30",4.6699,4.6699,4.6699,4.6699
"2018-10-31",4.7693,4.7693,4.7693,4.7693
"2018-11-01",4.7255,4.7255,4.7255,4.7255
"2018-11-02",4.7946,4.7946,4.7946,4.7946
"2018-11-05",4.7323,4.7323,4.7323,4.7323
"2018-11-06",4.784,4.784,4.784,4.784
"2018-11-07",4.7598,4.7598,4.7598,4.7598
"2018-11-08",4.8241,4.8241,4.8241,4.8241
"2018-11-09",4.7951,4.7951,4.7951,4.7951
"2018-11-12",4.7944,4.7944,4.7944,4.7944
"2018-11-13",4.6933,4.6933,4.6933,4.6933
"2018-11-14",4.7067,4.7067,4.7067,4.7067
"2018-11-15",4.69475,4.69475,4.69475,4.69475
"2018-11-16",4.72025,4.72025,4.72025,4.72025
"2018-11-19",4.7475,4.7505,4.6805,4.679
"2018-11-20",4.63725,4.63725,4.63725,4.63725
"2018-11-21",4.69625,4.69625,4.69625,4.69625
"2018-11-22",4.66525,4.66525,4.66525,4.66525
"2018-11-23",4.6845,4.6845,4.6845,4.6845
"2018-11-26",4.72825,4.72825,4.72825,4.72825
"2018-11-27",4.73225,4.73225,4.73225,4.73225
"2018-11-28",4.73275,4.73275,4.73275,4.73275
"2018-11-29",4.77475,4.77475,4.77475,4.77475
"2018-11-30",4.7835,4.7835,4.7835,4.7835
"2018-12-03",4.84275,4.84275,4.84275,4.84275
"2018-12-04",4.75375,4.75375,4.75375,4.75375
"2018-12-05",4.70925,4.70925,4.70925,4.70925
"2018-12-06",4.5675,4.5675,4.5675,4.5675
"2018-12-07",4.6315,4.6315,4.6315,4.6315
"2018-12-10",4.535,4.535,4.535,4.535
"2018-12-11",4.5805,4.5805,4.5805,4.5805
"2018-12-12",4.6565,4.66,4.6565,4.6605
"2018-12-13",4.6305,4.6305,4.6305,4.6305
"2018-12-14",4.58375,4.58375,4.58375,4.58375
"2018-12-17",4.5675,4.5675,4.5675,4.5675
"2018-12-18",4.547,4.547,4.547,4.547
"2018-12-19",4.56,4.56,4.56,4.56
"2018-12-20",4.4445,4.4445,4.4445,4.4445
"2018-12-21",4.36375,4.36375,4.36375,4.36375
