"date","open","high","low","close"
"2018-10-19",4.99,4.99,4.99,4.99
"2018-10-22",4.97,4.97,4.97,4.97
"2018-10-23",4.9478,4.9478,4.9478,4.9478
"2018-10-24",4.7858,4.7858,4.7858,4.7858
"2018-10-25",4.8807,4.8807,4.8807,4.8807
"2018-10-26",4.7932,4.7932,4.7932,4.7932
"2018-10-29",4.7627,4.7627,4.7627,4.7627
"2018-10-30",4.8376,4.8376,4.8376,4.8376
"2018-10-31",4.8978,4.8978,4.8978,4.8978
"2018-11-01",4.9549,4.9549,4.9549,4.9549
"2018-11-02",4.9194,4.9194,4.9194,4.9194
"2018-11-05",4.94,4.94,4.94,4.94
"2018-11-06",4.9707,4.9707,4.9707,4.9707
"2018-11-07",5.078,5.078,5.078,5.078
"2018-11-08",5.072,5.072,5.072,5.0775
"2018-11-09",5.031,5.031,5.031,5.0245
"2018-11-12",4.9355,4.9355,4.9355,4.9355
"2018-11-13",4.96575,4.96575,4.96575,4.96575
"2018-11-14",4.90625,4.90625,4.90625,4.90625
"2018-11-15",4.8795,4.8795,4.8795,4.8795
"2018-11-16",4.9355,4.9355,4.9355,4.9355
"2018-11-19",4.89625,4.89625,4.89625,4.89625
"2018-11-20",4.8875,4.8875,4.8875,4.793
"2018-11-21",4.8,4.8,4.8,4.82525
"2018-11-22",4.76375,4.76375,4.76375,4.76375
"2018-11-23",4.7845,4.7845,4.7845,4.7845
"2018-11-26",4.829,4.829,4.829,4.829
"2018-11-27",4.843,4.843,4.843,4.843
"2018-11-28",4.8845,4.8845,4.8845,4.87575
"2018-11-29",4.951,4.951,4.951,4.951
"2018-11-30",4.9605,4.9605,4.9605,4.9605
"2018-12-03",5.0435,5.0435,5.0435,5.0435
"2018-12-04",5.0135,5.0135,5.0135,5.0135
"2018-12-05",4.9095,4.9095,4.9095,4.9095
"2018-12-06",4.759,4.759,4.759,4.759
"2018-12-07",4.81525,4.81525,4.81525,4.81525
"2018-12-10",4.76,4.76,4.7485,4.6985
"2018-12-11",4.804,4.804,4.804,4.804
"2018-12-12",4.849,4.849,4.849,4.849
"2018-12-13",4.806,4.806,4.806,4.806
"2018-12-14",4.7445,4.7445,4.7445,4.7445
"2018-12-17",4.716,4.716,4.713,4.697
"2018-12-18",4.62475,4.62475,4.62475,4.62475
"2018-12-19",4.6475,4.6475,4.6475,4.6475
"2018-12-20",4.50025,4.50025,4.50025,4.50025
"2018-12-21",4.48375,4.48375,4.48375,4.48375
"2018-12-24",4.387,4.387,4.3805,4.34025
"2018-12-27",4.41325,4.41325,4.41325,4.41325
"2018-12-28",4.52,4.52,4.4865,4.50725
"2018-12-31",4.5505,4.5505,4.5505,4.5505
"2019-01-02",4.5415,4.5415,4.5415,4.5415
"2019-01-03",4.477,4.477,4.477,4.477
"2019-01-04",4.56425,4.56425,4.56425,4.56425
"2019-01-07",4.629,4.629,4.629,4.629
"2019-01-08",4.64425,4.64425,4.64425,4.64425
"2019-01-09",4.69,4.691,4.69,4.69675
"2019-01-10",4.6935,4.6935,4.6935,4.6935
"2019-01-11",4.692,4.692,4.692,4.699
"2019-01-14",4.6845,4.6845,4.6845,4.6845
"2019-01-15",4.72,4.72,4.72,4.72
"2019-01-16",4.76175,4.76175,4.76175,4.76175
"2019-01-17",4.762,4.762,4.762,4.762
"2019-01-18",4.8475,4.8475,4.8475,4.8475
"2019-01-21",4.83175,4.83175,4.83175,4.83175
"2019-01-22",4.806,4.806,4.806,4.806
"2019-01-23",4.7745,4.7745,4.7745,4.7745
"2019-01-24",4.79075,4.79075,4.79075,4.79075
"2019-01-25",4.8425,4.8425,4.8425,4.8425
"2019-01-28",4.79425,4.79425,4.79425,4.79425
"2019-01-29",4.786,4.786,4.786,4.786
"2019-01-30",4.8315,4.8315,4.8315,4.8315
"2019-01-31",4.904,4.904,4.904,4.904
"2019-02-01",4.927,4.927,4.927,4.927
"2019-02-04",4.9295,4.9295,4.9295,4.9295
"2019-02-05",4.9785,4.9785,4.9785,4.9635
"2019-02-06",4.96425,4.96425,4.96425,4.96425
"2019-02-07",4.899,4.899,4.899,4.899
"2019-02-08",4.8825,4.8825,4.8825,4.8825
"2019-02-11",4.9235,4.9235,4.9235,4.9235
"2019-02-12",4.985,4.985,4.985,4.985
"2019-02-13",5.0045,5.0045,5.0045,5.0045
"2019-02-14",4.981,4.981,4.981,4.981
"2019-02-15",5.0345,5.0345,5.0345,5.0345
"2019-02-18",5.051,5.051,5.051,5.051
"2019-02-19",5.05,5.053,5.05,5.0455
"2019-02-20",5.0585,5.0585,5.0585,5.0585
"2019-02-21",5.0445,5.0445,5.0445,5.0415
"2019-02-22",5.0735,5.0735,5.0735,5.0735
"2019-02-25",5.106,5.1165,5.106,5.1075
"2019-02-26",5.077,5.077,5.077,5.0905
"2019-02-27",5.058,5.058,5.058,5.0655
"2019-02-28",5.062,5.073,5.062,5.0715
"2019-03-01",5.0795,5.0795,5.0795,5.0795
"2019-03-04",5.0805,5.0805,5.0805,5.0805
"2019-03-05",5.083,5.083,5.083,5.0765
"2019-03-06",5.0535,5.0535,5.0535,5.0535
"2019-03-07",5.0025,5.0025,5.0025,5.0025
"2019-03-08",4.971,4.971,4.971,4.971
"2019-03-11",5.0445,5.0445,5.0445,5.0445
"2019-03-12",5.0885,5.0885,5.0885,5.0885
"2019-03-13",5.123,5.123,5.123,5.123
"2019-03-14",5.124,5.125,5.124,5.1185
"2019-03-15",5.1505,5.1505,5.1505,5.1505
"2019-03-18",5.15,5.15,5.15,5.1495
"2019-03-19",5.1915,5.1915,5.1915,5.1915
"2019-03-20",5.1385,5.1385,5.1385,5.1385
"2019-03-21",5.1815,5.1815,5.1815,5.1815
"2019-03-22",5.115,5.115,5.115,5.115
"2019-03-25",5.1025,5.1025,5.1025,5.1025
"2019-03-26",5.13,5.13,5.13,5.1285
"2019-03-27",5.0965,5.0965,5.0965,5.0965
"2019-03-28",5.11595,5.11595,5.11595,5.1095
"2019-03-29",5.1515,5.1515,5.1515,5.1515
"2019-04-01",5.2115,5.2115,5.2115,5.2115
"2019-04-02",5.2125,5.2125,5.2125,5.2125
"2019-04-03",5.25094,5.25094,5.25094,5.2605
