"date","open","high","low","close"
"2018-10-19",4.93,4.93,4.93,4.93
"2018-10-22",4.91,4.91,4.91,4.91
"2018-10-23",4.8628,4.8628,4.8628,4.8628
"2018-10-24",4.7486,4.7486,4.7486,4.7486
"2018-10-25",4.7945,4.7945,4.7945,4.7945
"2018-10-26",4.7337,4.7337,4.7337,4.7337
"2018-10-29",4.7192,4.7192,4.7192,4.7192
"2018-10-30",4.7714,4.7714,4.7714,4.7714
"2018-10-31",4.8329,4.8329,4.8329,4.8329
"2018-11-01",4.8788,4.8788,4.8788,4.8788
"2018-11-02",4.8673,4.8673,4.8673,4.8673
"2018-11-05",4.863,4.863,4.863,4.861
"2018-11-06",4.8925,4.8925,4.8925,4.8925
"2018-11-07",4.95725,4.95725,4.95725,4.95725
"2018-11-08",4.9755,4.9755,4.9755,4.98125
"2018-11-09",4.932,4.932,4.932,4.931
"2018-11-12",4.9255,4.9255,4.9255,4.85175
"2018-11-13",4.8715,4.8715,4.8715,4.8935
"2018-11-14",4.842,4.842,4.842,4.842
"2018-11-15",4.81775,4.81775,4.81775,4.81775
"2018-11-16",4.8685,4.8685,4.8685,4.8685
"2018-11-19",4.8815,4.8815,4.7955,4.7945
"2018-11-20",4.73075,4.73075,4.73075,4.73075
"2018-11-21",4.77,4.77,4.77,4.77
"2018-11-22",4.735,4.735,4.735,4.72375
"2018-11-23",4.737,4.737,4.737,4.737
"2018-11-26",4.78425,4.78425,4.78425,4.78425
"2018-11-27",4.771,4.771,4.771,4.78525
"2018-11-28",4.8045,4.8045,4.8045,4.8085
"2018-11-29",4.8685,4.8685,4.8685,4.8685
"2018-11-30",4.86875,4.86875,4.86875,4.86875
"2018-12-03",4.9425,4.9425,4.9425,4.9425
"2018-12-04",4.93,4.93,4.922,4.9155
"2018-12-05",4.827,4.827,4.827,4.827
"2018-12-06",4.732,4.732,4.732,4.676
"2018-12-07",4.7375,4.7375,4.7375,4.7375
"2018-12-10",4.702,4.702,4.702,4.627
"2018-12-11",4.7145,4.7145,4.7145,4.7145
"2018-12-12",4.758,4.776,4.758,4.7715
"2018-12-13",4.76,4.76,4.76,4.742
"2018-12-14",4.681,4.681,4.681,4.68475
"2018-12-17",4.649,4.649,4.649,4.649
"2018-12-18",4.59375,4.59375,4.59375,4.59375
"2018-12-19",4.6185,4.6185,4.6185,4.61525
"2018-12-20",4.49075,4.49075,4.49075,4.49075
"2018-12-21",4.4765,4.4765,4.4765,4.46875
"2018-12-24",4.35825,4.35825,4.35825,4.35825
"2018-12-27",4.404,4.404,4.404,4.404
"2018-12-28",4.49075,4.49075,4.49075,4.49075
"2018-12-31",4.53,4.53,4.53,4.53
"2019-01-02",4.5095,4.5095,4.5095,4.5095
"2019-01-03",4.46025,4.46025,4.46025,4.46025
"2019-01-04",4.56325,4.56325,4.56325,4.56325
"2019-01-07",4.60725,4.60725,4.60725,4.60725
"2019-01-08",4.62925,4.62925,4.62925,4.62925
"2019-01-09",4.68375,4.68375,4.68375,4.68375
"2019-01-10",4.68175,4.68175,4.68175,4.68175
"2019-01-11",4.68225,4.68225,4.68225,4.68225
"2019-01-14",4.6705,4.6705,4.6705,4.6705
"2019-01-15",4.6985,4.6985,4.6985,4.6985
"2019-01-16",4.73375,4.73375,4.73375,4.73375
"2019-01-17",4.72575,4.72575,4.72575,4.72575
"2019-01-18",4.80575,4.80575,4.80575,4.80575
"2019-01-21",4.7945,4.7945,4.7945,4.7945
"2019-01-22",4.76675,4.76675,4.76675,4.76675
"2019-01-23",4.7485,4.7485,4.7485,4.7485
"2019-01-24",4.75975,4.75975,4.75975,4.75975
"2019-01-25",4.816,4.816,4.816,4.816
"2019-01-28",4.76775,4.76775,4.76775,4.76775
