"date","open","high","low","close"
"2018-01-03",2.117,2.125,2.117,2.125
"2018-01-04",2.138,2.15,2.138,2.15
"2018-01-05",2.137,2.137,2.137,2.137
"2018-01-08",2.14,2.146,2.137,2.137
"2018-01-09",2.145,2.146,2.145,2.146
"2018-01-10",2.153,2.156,2.152,2.152
"2018-01-11",2.133,2.151,2.133,2.135
"2018-01-12",2.132,2.133,2.132,2.133
"2018-01-15",2.148,2.148,2.148,2.148
"2018-01-16",2.14,2.142,2.137,2.142
"2018-01-17",2.135,2.135,2.133,2.133
"2018-01-18",2.138,2.16,2.138,2.16
"2018-01-19",2.16,2.16,2.146,2.146
"2018-01-22",2.156,2.161,2.156,2.161
"2018-01-23",2.166,2.166,2.166,2.166
"2018-01-24",2.16,2.16,2.158,2.158
"2018-01-25",2.149,2.166,2.14,2.163
"2018-01-26",2.165,2.175,2.165,2.175
"2018-01-29",2.185,2.185,2.182,2.182
"2018-01-30",2.179,2.179,2.174,2.174
"2018-01-31",2.144,2.144,2.139,2.139
"2018-02-01",2.139,2.14,2.139,2.14
"2018-02-02",2.14,2.14,2.133,2.133
"2018-02-05",2.112,2.112,2.105,2.105
"2018-02-07",2.043,2.068,2.043,2.058
"2018-02-08",2.077,2.077,2.065,2.065
"2018-02-09",2.04,2.04,1.998,1.999
"2018-02-12",2.012,2.018,2.012,2.018
"2018-02-13",2.044,2.044,2.044,2.044
"2018-02-14",2.044,2.044,2.038,2.039
"2018-02-15",2.046,2.046,2.046,2.046
"2018-02-16",2.059,2.062,2.059,2.062
"2018-02-19",2.064,2.064,2.055,2.055
"2018-02-20",2.068,2.068,2.068,2.068
"2018-02-21",2.058,2.06,2.058,2.06
"2018-02-22",2.062,2.062,2.062,2.062
"2018-02-23",2.059,2.067,2.059,2.067
"2018-02-26",2.101,2.101,2.101,2.101
"2018-02-27",2.118,2.118,2.118,2.118
"2018-02-28",2.11,2.11,2.11,2.11
"2018-03-01",2.108,2.108,2.087,2.087
"2018-03-02",2.042,2.049,2.042,2.046
"2018-03-05",2.066,2.066,2.064,2.066
"2018-03-06",2.081,2.081,2.076,2.076
"2018-03-07",2.08,2.08,2.08,2.08
"2018-03-08",2.08,2.08,2.08,2.08
"2018-03-09",2.091,2.091,2.09,2.09
"2018-03-12",2.103,2.104,2.103,2.104
"2018-03-13",2.104,2.104,2.104,2.104
"2018-03-14",2.083,2.085,2.078,2.078
"2018-03-15",2.073,2.082,2.073,2.082
"2018-03-16",2.095,2.099,2.095,2.099
"2018-03-19",2.107,2.11,2.106,2.11
"2018-03-20",2.077,2.084,2.077,2.084
"2018-03-21",2.106,2.106,2.106,2.106
"2018-03-22",2.092,2.092,2.092,2.092
"2018-03-23",2.043,2.046,2.04,2.04
"2018-03-26",2.008,2.008,2,2
"2018-03-27",2.026,2.026,2.026,2.026
"2018-03-28",2.012,2.012,2.011,2.011
"2018-03-29",2.034,2.035,2.032,2.035
"2018-04-03",2.016,2.017,2.012,2.017
"2018-04-04",2.025,2.025,2.02,2.022
"2018-04-05",2.024,2.024,2.024,2.024
"2018-04-06",2.048,2.048,2.048,2.048
"2018-04-09",2.024,2.024,2.008,2.008
"2018-04-10",2.018,2.018,2.016,2.016
"2018-04-11",2.029,2.029,2.029,2.029
"2018-04-12",2.019,2.019,2.015,2.015
"2018-04-13",2.028,2.03,2.028,2.03
"2018-04-16",2.03,2.032,2.029,2.029
"2018-04-17",2.038,2.038,2.033,2.036
"2018-04-18",2.057,2.063,2.057,2e-04
"2018-04-19",2.077,2.077,2.069,2.069
