"date","open","high","low","close"
"2018-01-03",6.937,7.014,6.937,7.014
"2018-01-04",7.044,7.046,7.044,7.046
"2018-01-05",7.012,7.012,7.006,7.006
"2018-01-08",7.034,7.041,7.033,7.033
"2018-01-09",7.048,7.048,7.038,7.048
"2018-01-10",7.092,7.092,7.087,7.087
"2018-01-11",7.022,7.028,7.019,7.028
"2018-01-12",7.012,7.017,7.012,7.017
"2018-01-15",7.066,7.071,7.066,7.066
"2018-01-16",7.055,7.055,7.025,7.029
"2018-01-17",7.029,7.031,7.02,7.026
"2018-01-18",7.055,7.108,7.055,7.108
"2018-01-19",7.099,7.099,7.064,7.069
"2018-01-22",7.1,7.104,7.1,7.1
"2018-01-23",7.103,7.125,7.1,7.1
"2018-01-24",7.106,7.106,7.098,7.098
"2018-01-25",7.039,7.13,7.039,7.092
"2018-01-26",7.113,7.155,7.113,7.124
"2018-01-29",7.193,7.212,7.182,7.212
"2018-01-30",7.164,7.17,7.163,7.17
"2018-01-31",7.11,7.11,7.045,7.045
"2018-02-01",7.052,7.052,7.052,7.052
"2018-02-02",7.05,7.05,7.003,7.041
"2018-02-05",7.005,7.005,6.955,6.955
"2018-02-07",6.75,6.782,6.75,6.782
"2018-02-08",6.885,6.9,6.824,6.833
"2018-02-09",6.8,6.8,6.574,6.58
"2018-02-12",6.652,6.661,6.651,6.651
"2018-02-13",6.774,6.774,6.733,6.736
"2018-02-14",6.732,6.741,6.696,6.696
"2018-02-15",6.749,6.749,6.73,6.73
"2018-02-16",6.796,6.807,6.796,6.807
"2018-02-19",6.809,6.814,6.792,6.792
"2018-02-20",6.825,6.828,6.825,6.828
"2018-02-21",6.81,6.81,6.807,6.807
"2018-02-22",6.8,6.807,6.8,6.807
"2018-02-23",6.811,6.83,6.811,6.83
"2018-02-26",6.942,6.954,6.942,6.949
"2018-02-27",7.017,7.022,7.017,7.022
"2018-02-28",7.029,7.049,7.01,7.04
"2018-03-01",7.018,7.018,6.938,6.945
"2018-03-02",6.763,6.799,6.763,6.784
"2018-03-05",6.785,6.868,6.785,6.868
"2018-03-06",6.935,6.935,6.924,6.924
"2018-03-07",6.883,6.902,6.883,6.894
"2018-03-08",6.875,6.897,6.875,6.891
"2018-03-09",6.95,6.953,6.95,6.953
"2018-03-12",7.01,7.029,7.01,7.018
"2018-03-13",7.038,7.038,7.008,7.008
"2018-03-14",6.945,6.95,6.929,6.929
"2018-03-15",6.89,6.929,6.89,6.91
"2018-03-16",6.955,6.972,6.951,6.972
"2018-03-19",7.015,7.02,7.01,7.016
"2018-03-20",6.878,6.909,6.878,6.909
"2018-03-21",6.964,6.975,6.964,6.975
"2018-03-22",6.91,6.91,6.91,6.91
"2018-03-23",6.766,6.766,6.743,6.745
"2018-03-26",6.58,6.58,6.575,6.575
"2018-03-27",6.69,6.69,6.678,6.684
"2018-03-28",6.596,6.596,6.593,6.593
"2018-03-29",6.626,6.671,6.626,6.671
"2018-04-03",6.6,6.6,6.588,6.595
"2018-04-04",6.631,6.631,6.606,6.606
"2018-04-05",6.658,6.664,6.651,6.664
"2018-04-06",6.737,6.75,6.737,6.742
"2018-04-09",6.607,6.607,6.583,6.583
"2018-04-10",6.587,6.59,6.569,6.569
"2018-04-11",6.644,6.646,6.642,6.646
"2018-04-12",6.606,6.608,6.597,6.608
"2018-04-13",6.65,6.657,6.65,6.657
"2018-04-16",6.658,6.663,6.653,6.653
"2018-04-17",6.696,6.703,6.696,6.703
"2018-04-18",6.805,6.805,6.799,6.801
"2018-04-19",6.818,6.827,6.815,6.827
"2018-04-20",6.847,6.854,6.847,6.854
"2018-04-23",6.835,6.835,6.835,6.835
"2018-04-24",6.858,6.9,6.858,6.9
"2018-04-26",6.88,6.889,6.875,6.884
"2018-04-27",6.889,6.967,6.889,6.951
"2018-04-30",6.942,6.948,6.934,6.948
"2018-05-01",6.931,6.945,6.925,6.925
"2018-05-02",6.969,6.982,6.969,6.976
"2018-05-03",6.933,6.933,6.926,6.926
"2018-05-04",6.877,6.88,6.87,6.87
"2018-05-07",6.983,6.985,6.965,6.979
"2018-05-08",7.012,7.012,6.997,7.007
"2018-05-09",7.045,7.07,7.045,7.058
"2018-05-10",7.141,7.179,7.141,7.179
"2018-05-11",7.199,7.201,7.195,7.201
"2018-05-14",7.213,7.213,7.207,7.212
"2018-05-15",7.278,7.278,7.273,7.276
"2018-05-16",7.291,7.298,7.291,7.294
"2018-05-17",7.29,7.29,7.28,7.28
"2018-05-18",7.297,7.303,7.287,7.292
"2018-05-21",7.242,7.263,7.242,7.251
"2018-05-22",7.259,7.268,7.259,7.265
"2018-05-23",7.258,7.282,7.25,7.282
"2018-05-24",7.279,7.298,7.272,7.29
"2018-05-25",7.27,7.276,7.26,7.276
"2018-05-28",7.262,7.262,7.237,7.237
"2018-05-29",7.241,7.242,7.237,7.241
"2018-05-30",7.172,7.179,7.172,7.179
"2018-05-31",7.189,7.195,7.183,7.195
"2018-06-01",7.122,7.122,7.094,7.102
"2018-06-05",7.189,7.193,7.185,7.193
"2018-06-06",7.198,7.198,7.198,7.198
"2018-06-07",7.249,7.253,7.242,7.242
"2018-06-08",7.259,7.262,7.258,7.258
"2018-06-11",7.277,7.278,7.265,7.265
"2018-06-12",7.314,7.314,7.313,7.313
"2018-06-13",7.321,7.327,7.321,7.326
"2018-06-14",7.279,7.282,7.275,7.282
"2018-06-15",7.372,7.378,7.372,7.372
"2018-06-18",7.381,7.397,7.379,7.379
"2018-06-19",7.365,7.371,7.364,7.369
"2018-06-20",7.365,7.37,7.356,7.356
"2018-06-21",7.418,7.453,7.418,7.453
"2018-06-22",7.363,7.364,7.341,7.342
"2018-06-25",7.34,7.347,7.335,7.342
"2018-06-26",7.258,7.261,7.253,7.253
"2018-06-27",7.309,7.35,7.309,7.35
"2018-06-28",7.303,7.328,7.303,7.327
"2018-06-29",7.41,7.417,7.41,7.412
"2018-07-02",7.388,7.409,7.388,7.409
"2018-07-03",7.467,7.486,7.467,7.486
"2018-07-04",7.48,7.48,7.394,7.394
"2018-07-05",7.409,7.409,7.409,7.415
"2018-07-06",7.425,7.425,7.413,7.42
"2018-07-09",7.433,7.434,7.433,7.434
"2018-07-10",7.483,7.487,7.483,7.487
"2018-07-11",7.52,7.556,7.52,7.554
"2018-07-12",7.564,7.564,7.56,7.564
"2018-07-13",7.607,7.607,7.6,7.6
"2018-07-16",7.618,7.618,7.611,7.613
"2018-07-17",7.607,7.607,7.598,7.599
"2018-07-18",7.629,7.629,7.623,7.623
"2018-07-19",7.626,7.636,7.62,7.636
"2018-07-20",7.652,7.654,7.648,7.651
"2018-07-23",7.62,7.62,7.562,7.568
"2018-07-24",7.62,7.62,7.601,7.612
"2018-07-25",7.629,7.642,7.626,7.642
"2018-07-26",7.651,7.659,7.651,7.659
"2018-07-27",7.703,7.703,7.703,7.703
"2018-07-30",7.636,7.636,7.632,7.636
"2018-07-31",7.62,7.62,7.553,7.558
"2018-08-01",7.618,7.619,7.618,7.619
"2018-08-02",7.623,7.626,7.62,7.625
"2018-08-03",7.731,7.731,7.731,7.731
"2018-08-06",7.755,7.762,7.751,7.751
"2018-08-07",7.797,7.804,7.792,7.795
"2018-08-08",7.813,7.816,7.796,7.796
"2018-08-09",7.876,7.881,7.876,7.881
"2018-08-10",7.939,7.959,7.939,7.957
"2018-08-13",7.932,7.932,7.905,7.91
"2018-08-14",7.897,7.898,7.866,7.869
"2018-08-15",7.964,7.974,7.964,7.969
"2018-08-16",7.96,7.96,7.886,7.886
"2018-08-17",7.936,7.948,7.936,7.945
"2018-08-20",7.908,7.935,7.908,7.928
"2018-08-21",7.939,7.94,7.928,7.933
"2018-08-22",7.91,7.91,7.848,7.872
"2018-08-23",7.854,7.866,7.851,7.855
"2018-08-24",7.904,7.932,7.904,7.932
"2018-08-27",7.924,7.929,7.924,7.943
"2018-08-28",8.055,8.055,8.049,8.049
"2018-08-29",7.962,7.974,7.962,7.969
"2018-08-30",8.023,8.024,8.023,8.06
"2018-08-31",7.984,7.999,7.978,7.996
"2018-09-03",8.101,8.101,8.088,8.088
"2018-09-04",8.111,8.113,8.102,8.11
"2018-09-05",8.136,8.144,8.136,8.139
"2018-09-06",8.069,8.07,8.044,8.044
"2018-09-07",8.045,8.065,8.045,8.065
"2018-09-10",8.095,8.116,8.095,8.116
"2018-09-11",8.136,8.137,8.122,8.122
"2018-09-12",8.147,8.174,8.147,8.174
"2018-09-13",8.12,8.12,8.112,8.112
"2018-09-14",8.137,8.137,8.131,8.131
"2018-09-17",8.17,8.176,8.166,8.172
"2018-09-18",8.091,8.099,8.073,8.089
"2018-09-19",8.118,8.128,8.106,8.106
"2018-09-20",8.091,8.091,8.056,8.066
"2018-09-21",8.074,8.077,8.07,8.077
"2018-09-24",8.084,8.084,8.069,8.076
"2018-09-25",8.088,8.101,8.087,8.101
"2018-09-26",8.084,8.088,8.035,8.035
"2018-09-27",8.033,8.036,8.031,8.031
"2018-09-28",8.1,8.113,8.1,8.112
"2018-10-01",8.12,8.12,8.101,8.11
"2018-10-02",8.155,8.155,8.147,8.147
"2018-10-03",8.156,8.19,8.156,8.169
"2018-10-04",8.262,8.298,8.262,8.295
"2018-10-05",8.241,8.256,8.241,8.256
"2018-10-08",8.246,8.263,8.246,8.263
"2018-10-09",8.238,8.242,8.233,8.235
"2018-10-10",8.2,8.2,8.175,8.175
