"date","open","high","low","close"
"2018-01-03",3.992,4.003,3.992,4.003
"2018-01-04",4.003,4.003,4.003,4.003
"2018-01-05",4.016,4.016,4.016,4.016
"2018-01-08",4.036,4.042,4.036,4.039
"2018-01-09",4.039,4.039,4.039,4.039
"2018-01-10",4.039,4.039,4.039,4.039
"2018-01-11",4.027,4.034,4.027,4.033
"2018-01-12",4.033,4.033,4.033,4.033
"2018-01-15",4.048,4.048,4.048,4.048
"2018-01-16",4.032,4.032,4.032,4.032
"2018-01-17",4.034,4.034,4.027,4.027
"2018-01-18",4.038,4.078,4.038,4.078
"2018-01-19",4.078,4.078,4.078,4.078
"2018-01-22",4.08,4.087,4.08,4.087
"2018-01-23",4.088,4.088,4.088,4.088
"2018-01-24",4.094,4.094,4.094,4.094
"2018-01-25",4.053,4.053,4.053,4.053
"2018-01-26",4.094,4.094,4.094,4.094
"2018-01-29",4.13,4.13,4.13,4.13
"2018-01-30",4.128,4.128,4.128,4.128
"2018-01-31",4.083,4.083,4.051,4.051
"2018-02-01",4.064,4.064,4.064,4.064
"2018-02-02",4.06,4.06,4.029,4.038
"2018-02-05",4.015,4.015,4,4
"2018-02-07",3.852,3.915,3.852,3.905
"2018-02-08",3.967,3.967,3.939,3.945
"2018-02-09",3.92,3.92,3.785,3.791
"2018-02-12",3.829,3.832,3.829,3.832
"2018-02-13",3.832,3.832,3.832,3.832
"2018-02-14",3.883,3.883,3.87,3.87
"2018-02-15",3.87,3.87,3.87,3.87
"2018-02-16",3.87,3.87,3.87,3.87
"2018-02-19",3.938,3.938,3.938,3.938
"2018-02-20",3.948,3.948,3.948,3.948
"2018-02-21",3.945,3.948,3.944,3.944
"2018-02-22",3.944,3.944,3.944,3.944
"2018-02-23",3.95,3.95,3.943,3.949
"2018-02-26",4.031,4.031,4.031,4.031
"2018-02-27",4.061,4.061,4.061,4.061
"2018-02-28",4.08,4.08,4.052,4.052
"2018-03-01",4.054,4.054,4.028,4.028
"2018-03-02",3.944,3.944,3.944,3.944
"2018-03-05",3.955,3.978,3.955,3.978
"2018-03-06",4.028,4.028,4.028,4.028
"2018-03-07",4.001,4.001,4.001,4.001
"2018-03-08",4.001,4.001,4.001,4.001
"2018-03-09",4.05,4.062,4.05,4.062
"2018-03-12",4.111,4.111,4.101,4.101
"2018-03-13",4.101,4.101,4.101,4.101
"2018-03-14",4.068,4.068,4.068,4.068
"2018-03-15",4.05,4.05,4.05,4.05
"2018-03-16",4.056,4.05,4.05,4.05
"2018-03-19",4.109,4.109,4.108,4.108
"2018-03-20",4.108,4.108,4.108,4.108
"2018-03-21",4.108,4.108,4.108,4.108
"2018-03-22",4.048,4.048,4.047,4.047
"2018-03-23",3.95,3.95,3.95,3.95
"2018-03-26",3.848,3.848,3.835,3.835
"2018-03-27",3.915,3.915,3.915,3.915
"2018-03-28",3.84,3.84,3.84,3.84
"2018-03-29",3.848,3.859,3.848,3.859
"2018-04-03",3.822,3.822,3.822,3.822
"2018-04-04",3.837,3.837,3.82,3.82
"2018-04-05",3.859,3.859,3.859,3.859
"2018-04-06",3.907,3.907,3.907,3.907
"2018-04-09",3.8,3.8,3.8,3.8
"2018-04-10",3.808,3.808,3.808,3.808
"2018-04-11",3.846,3.85,3.846,3.85
"2018-04-12",3.83,3.83,3.829,3.829
"2018-04-13",3.829,3.829,3.829,3.829
"2018-04-16",3.854,3.854,3.854,3.854
"2018-04-17",3.854,3.854,3.854,3.854
"2018-04-18",3.854,3.854,3.854,3.854
"2018-04-19",3.973,3.974,3.973,3.974
"2018-04-20",3.969,3.969,3.969,3.969
"2018-04-23",3.96,3.96,3.96,3.96
"2018-04-24",3.96,3.96,3.96,3.96
"2018-04-26",3.952,3.956,3.952,3.956
"2018-04-27",3.956,3.956,3.956,3.956
"2018-04-30",3.956,3.956,3.956,3.956
"2018-05-01",4.011,4.011,4.011,4.011
"2018-05-02",4.062,4.072,4.061,4.072
"2018-05-03",4.072,4.072,4.072,4.072
"2018-05-04",4.072,4.072,4.072,4.072
"2018-05-07",4.097,4.097,4.089,4.089
"2018-05-08",4.089,4.089,4.089,4.089
"2018-05-09",4.089,4.089,4.089,4.089
"2018-05-10",4.226,4.249,4.226,4.249
"2018-05-11",4.257,4.257,4.257,4.257
"2018-05-14",4.262,4.268,4.262,4.268
"2018-05-15",4.287,4.295,4.287,4.295
"2018-05-16",4.291,4.291,4.291,4.291
"2018-05-17",4.291,4.291,4.291,4.291
"2018-05-18",4.291,4.291,4.291,4.291
"2018-05-21",4.253,4.259,4.253,4.259
"2018-05-22",4.259,4.259,4.259,4.259
"2018-05-23",4.252,4.252,4.252,4.252
"2018-05-24",4.288,4.288,4.288,4.288
"2018-05-25",4.288,4.288,4.288,4.288
"2018-05-28",4.271,4.271,4.271,4.271
"2018-05-29",4.271,4.271,4.271,4.271
"2018-05-30",4.271,4.271,4.271,4.271
"2018-05-31",4.271,4.271,4.271,4.271
"2018-06-01",4.209,4.214,4.204,4.214
"2018-06-05",4.209,4.214,4.204,4.214
"2018-06-06",4.214,4.214,4.214,4.214
"2018-06-07",4.307,4.307,4.307,4.307
"2018-06-08",4.301,4.304,4.301,4.304
"2018-06-11",4.304,4.304,4.304,4.304
"2018-06-12",4.304,4.304,4.304,4.304
"2018-06-13",4.356,4.358,4.356,4.358
"2018-06-14",4.358,4.358,4.358,4.358
"2018-06-15",4.391,4.407,4.391,4.407
"2018-06-18",4.407,4.407,4.407,4.407
"2018-06-19",4.41,4.41,4.41,4.41
"2018-06-20",4.406,4.41,4.398,4.398
"2018-06-21",4.445,4.463,4.445,4.463
"2018-06-22",4.409,4.409,4.394,4.394
"2018-06-25",4.371,4.371,4.371,4.371
"2018-06-26",4.371,4.371,4.371,4.371
"2018-06-27",4.342,4.342,4.342,4.342
"2018-06-28",4.334,4.334,4.334,4.334
"2018-06-29",4.404,4.404,4.404,4.404
"2018-07-02",4.391,4.394,4.391,4.394
"2018-07-03",4.448,4.456,4.448,4.456
"2018-07-04",4.408,4.408,4.408,4.408
"2018-07-05",4.402,4.407,4.402,4.407
"2018-07-06",4.407,4.407,4.407,4.407
"2018-07-09",4.432,4.432,4.432,4.432
"2018-07-10",4.47,4.472,4.463,4.463
"2018-07-11",4.5,4.5,4.493,4.493
"2018-07-12",4.493,4.493,4.493,4.493
