"date","open","high","low","close"
"2018-01-03",4.412,4.412,4.412,4.412
"2018-01-04",4.412,4.412,4.412,4.412
"2018-01-05",4.399,4.399,4.399,4.399
"2018-01-08",4.408,4.415,4.408,4.415
"2018-01-09",4.428,4.428,4.428,4.428
"2018-01-10",4.428,4.428,4.428,4.428
"2018-01-11",4.396,4.399,4.396,4.399
"2018-01-12",4.399,4.399,4.399,4.399
"2018-01-15",4.425,4.425,4.425,4.425
"2018-01-16",4.425,4.425,4.425,4.425
"2018-01-17",4.425,4.425,4.425,4.425
"2018-01-18",4.41,4.41,4.41,4.41
"2018-01-19",4.41,4.41,4.41,4.41
"2018-01-22",4.433,4.435,4.433,4.435
"2018-01-23",4.433,4.433,4.433,4.433
"2018-01-24",4.433,4.433,4.433,4.433
"2018-01-25",4.39,4.39,4.39,4.39
"2018-01-26",4.39,4.39,4.39,4.39
"2018-01-29",4.39,4.39,4.39,4.39
"2018-01-30",4.39,4.39,4.39,4.39
"2018-01-31",4.404,4.404,4.395,4.395
"2018-02-01",4.395,4.395,4.395,4.395
"2018-02-02",4.395,4.395,4.395,4.395
"2018-02-05",4.321,4.321,4.321,4.321
"2018-02-07",4.321,4.321,4.321,4.321
"2018-02-08",4.321,4.321,4.321,4.321
"2018-02-09",4.321,4.321,4.321,4.321
"2018-02-12",4.152,4.152,4.152,4.152
"2018-02-13",4.152,4.152,4.152,4.152
"2018-02-14",4.152,4.152,4.152,4.152
"2018-02-15",4.152,4.152,4.152,4.152
"2018-02-16",4.152,4.152,4.152,4.152
"2018-02-19",4.152,4.152,4.152,4.152
"2018-02-20",4.152,4.152,4.152,4.152
"2018-02-21",4.249,4.249,4.249,4.249
"2018-02-22",4.249,4.249,4.249,4.249
"2018-02-23",4.244,4.244,4.244,4.244
"2018-02-26",4.244,4.244,4.244,4.244
"2018-02-27",4.244,4.244,4.244,4.244
"2018-02-28",4.323,4.342,4.323,4.342
"2018-03-01",4.342,4.342,4.342,4.342
"2018-03-02",4.342,4.342,4.342,4.342
"2018-03-05",4.284,4.284,4.284,4.284
"2018-03-06",4.33,4.33,4.33,4.33
"2018-03-07",4.33,4.33,4.33,4.33
"2018-03-08",4.33,4.33,4.33,4.33
"2018-03-09",4.337,4.337,4.337,4.337
"2018-03-12",4.337,4.337,4.337,4.337
"2018-03-13",4.337,4.337,4.337,4.337
"2018-03-14",4.337,4.337,4.337,4.337
"2018-03-15",4.337,4.337,4.337,4.337
"2018-03-16",4.337,4.337,4.337,4.337
"2018-03-19",4.411,4.411,4.411,4.411
"2018-03-20",4.411,4.411,4.411,4.411
"2018-03-21",4.411,4.411,4.411,4.411
"2018-03-22",4.411,4.411,4.411,4.411
"2018-03-23",4.411,4.411,4.411,4.411
"2018-03-26",4.411,4.411,4.411,4.411
"2018-03-27",4.411,4.411,4.411,4.411
"2018-03-28",4.411,4.411,4.411,4.411
"2018-03-29",4.238,4.238,4.238,4.238
"2018-04-03",4.238,4.238,4.238,4.238
"2018-04-04",4.238,4.238,4.238,4.238
"2018-04-05",4.22,4.22,4.22,4.22
"2018-04-06",4.263,4.263,4.263,4.263
"2018-04-09",4.23,4.23,4.23,4.23
"2018-04-10",4.23,4.23,4.23,4.23
"2018-04-11",4.23,4.23,4.23,4.23
"2018-04-12",4.23,4.23,4.23,4.23
"2018-04-13",4.23,4.23,4.23,4.23
"2018-04-16",4.193,4.193,4.193,4.193
"2018-04-17",4.193,4.193,4.193,4.193
"2018-04-18",4.193,4.193,4.193,4.193
"2018-04-19",4.306,4.306,4.306,4.306
"2018-04-20",4.301,4.301,4.301,4.301
"2018-04-23",4.301,4.301,4.301,4.301
"2018-04-24",4.301,4.301,4.301,4.301
"2018-04-26",4.301,4.301,4.301,4.301
"2018-04-27",4.301,4.301,4.301,4.301
"2018-04-30",4.301,4.301,4.301,4.301
"2018-05-01",4.379,4.379,4.379,4.379
"2018-05-02",4.39,4.39,4.39,4.39
"2018-05-03",4.39,4.39,4.39,4.39
"2018-05-04",4.331,4.331,4.331,4.331
"2018-05-07",4.386,4.386,4.386,4.386
"2018-05-08",4.42,4.42,4.42,4.42
"2018-05-09",4.42,4.42,4.42,4.42
"2018-05-10",4.516,4.528,4.516,4.528
"2018-05-11",4.516,4.528,4.516,4.528
"2018-05-14",4.528,4.528,4.528,4.528
"2018-05-15",4.528,4.528,4.528,4.528
"2018-05-16",4.528,4.528,4.528,4.528
"2018-05-17",4.575,4.575,4.575,4.575
"2018-05-18",4.581,4.581,4.581,4.581
"2018-05-21",4.581,4.581,4.581,4.581
"2018-05-22",4.581,4.581,4.581,4.581
"2018-05-23",4.581,4.581,4.581,4.581
"2018-05-24",4.581,4.581,4.581,4.581
"2018-05-25",4.581,4.581,4.581,4.581
"2018-05-28",4.581,4.581,4.581,4.581
"2018-05-29",4.581,4.581,4.581,4.581
"2018-05-30",4.581,4.581,4.581,4.581
"2018-05-31",4.524,4.524,4.524,4.524
"2018-06-01",4.462,4.462,4.462,4.462
"2018-06-05",4.462,4.462,4.462,4.462
"2018-06-06",4.513,4.515,4.513,4.515
"2018-06-07",4.515,4.515,4.515,4.515
"2018-06-08",4.548,4.548,4.548,4.548
"2018-06-11",4.548,4.548,4.548,4.548
