"date","open","high","low","close"
"2018-01-03",4.207,4.207,4.207,4.207
"2018-01-04",4.226,4.226,4.226,4.226
"2018-01-05",4.226,4.226,4.226,4.226
"2018-01-08",4.226,4.226,4.226,4.226
"2018-01-09",4.2,4.2,4.2,4.2
"2018-01-10",4.2,4.2,4.2,4.2
"2018-01-11",4.18,4.18,4.18,4.18
"2018-01-12",4.202,4.202,4.202,4.202
"2018-01-15",4.202,4.202,4.202,4.202
"2018-01-16",4.197,4.197,4.197,4.197
"2018-01-17",4.197,4.197,4.197,4.197
"2018-01-18",4.197,4.197,4.197,4.197
"2018-01-19",4.197,4.197,4.197,4.197
"2018-01-22",4.215,4.223,4.215,4.223
"2018-01-23",4.223,4.223,4.223,4.223
"2018-01-24",4.221,4.221,4.221,4.221
"2018-01-25",4.168,4.168,4.168,4.168
"2018-01-26",4.168,4.168,4.168,4.168
"2018-01-29",4.168,4.168,4.168,4.168
"2018-01-30",4.168,4.168,4.168,4.168
"2018-01-31",4.166,4.166,4.166,4.166
"2018-02-01",4.166,4.166,4.166,4.166
"2018-02-02",4.112,4.112,4.112,4.112
"2018-02-05",4.099,4.099,4.094,4.096
"2018-02-07",3.98,3.98,3.98,3.98
"2018-02-08",3.98,3.98,3.98,3.98
"2018-02-09",3.98,3.98,3.98,3.98
"2018-02-12",3.921,3.921,3.921,3.921
"2018-02-13",3.974,3.974,3.974,3.974
"2018-02-14",3.974,3.974,3.974,3.974
"2018-02-15",3.974,3.974,3.974,3.974
"2018-02-16",3.974,3.974,3.974,3.974
"2018-02-19",3.974,3.974,3.974,3.974
"2018-02-20",3.974,3.974,3.974,3.974
"2018-02-21",3.974,3.974,3.974,3.974
"2018-02-22",3.974,3.974,3.974,3.974
"2018-02-23",4.018,4.029,4.018,4.029
"2018-02-26",4.085,4.085,4.084,4.084
"2018-02-27",4.084,4.084,4.084,4.084
"2018-02-28",4.108,4.108,4.108,4.108
"2018-03-01",4.108,4.108,4.108,4.108
"2018-03-02",3.999,3.999,3.999,3.999
"2018-03-05",4.072,4.072,4.072,4.072
"2018-03-06",4.106,4.106,4.106,4.106
"2018-03-07",4.106,4.106,4.106,4.106
"2018-03-08",4.106,4.106,4.106,4.106
"2018-03-09",4.106,4.106,4.106,4.106
"2018-03-12",4.106,4.106,4.106,4.106
"2018-03-13",4.106,4.106,4.106,4.106
"2018-03-14",4.156,4.156,4.15,4.15
"2018-03-15",4.125,4.125,4.125,4.125
"2018-03-16",4.149,4.149,4.149,4.149
"2018-03-19",4.199,4.199,4.199,4.199
"2018-03-20",4.147,4.147,4.147,4.147
"2018-03-21",4.147,4.147,4.147,4.147
"2018-03-22",4.147,4.147,4.147,4.147
"2018-03-23",4.147,4.147,4.147,4.147
"2018-03-26",4.147,4.147,4.147,4.147
"2018-03-27",4.147,4.147,4.147,4.147
"2018-03-28",4.147,4.147,4.147,4.147
"2018-03-29",4.037,4.037,4.037,4.037
"2018-04-03",3.981,3.981,3.981,3.981
"2018-04-04",3.981,3.981,3.981,3.981
"2018-04-05",4.018,4.023,4.018,4.023
"2018-04-06",4.073,4.073,4.073,4.073
"2018-04-09",4.073,4.073,4.073,4.073
"2018-04-10",4.073,4.073,4.073,4.073
"2018-04-11",4.01,4.01,4.01,4.01
"2018-04-12",4.01,4.01,4.01,4.01
"2018-04-13",4.01,4.01,4.01,4.01
"2018-04-16",4.01,4.01,4.01,4.01
"2018-04-17",4.01,4.01,4.01,4.01
"2018-04-18",4.01,4.01,4.01,4.01
"2018-04-19",4.01,4.01,4.01,4.01
"2018-04-20",4.01,4.01,4.01,4.01
"2018-04-23",4.149,4.158,4.149,4.158
"2018-04-24",4.16,4.16,4.16,4.16
"2018-04-26",4.16,4.16,4.16,4.16
"2018-04-27",4.16,4.16,4.16,4.16
"2018-04-30",4.195,4.195,4.195,4.195
"2018-05-01",4.204,4.204,4.204,4.204
"2018-05-02",4.219,4.219,4.219,4.219
"2018-05-03",4.219,4.219,4.219,4.219
"2018-05-04",4.18,4.18,4.18,4.18
"2018-05-07",4.18,4.18,4.18,4.18
"2018-05-08",4.18,4.18,4.18,4.18
"2018-05-09",4.34,4.348,4.34,4.348
"2018-05-10",4.34,4.348,4.34,4.348
"2018-05-11",4.348,4.348,4.348,4.348
"2018-05-14",4.405,4.405,4.405,4.405
"2018-05-15",4.405,4.405,4.405,4.405
"2018-05-16",4.405,4.405,4.405,4.405
"2018-05-17",4.405,4.405,4.405,4.405
"2018-05-18",4.405,4.405,4.405,4.405
"2018-05-21",4.482,4.482,4.482,4.482
"2018-05-22",4.484,4.484,4.484,4.484
"2018-05-23",4.491,4.491,4.491,4.491
"2018-05-24",4.491,4.491,4.491,4.491
"2018-05-25",4.471,4.471,4.466,4.466
