"date","open","high","low","close"
"2018-01-03",3.02,3.026,3.02,3.026
"2018-01-04",3.026,3.026,3.026,3.026
"2018-01-05",3.026,3.026,3.026,3.026
"2018-01-08",3.026,3.026,3.026,3.026
"2018-01-09",3.026,3.026,3.026,3.026
"2018-01-10",3.026,3.026,3.026,3.026
"2018-01-11",3.033,3.033,3.033,3.033
"2018-01-12",3.033,3.033,3.033,3.033
"2018-01-15",3.033,3.033,3.033,3.033
"2018-01-16",3.033,3.033,3.033,3.033
"2018-01-17",3.037,3.037,3.037,3.037
"2018-01-18",3.037,3.037,3.037,3.037
"2018-01-19",3.037,3.037,3.037,3.037
"2018-01-22",3.037,3.037,3.037,3.037
"2018-01-23",3.037,3.037,3.037,3.037
"2018-01-24",3.037,3.037,3.037,3.037
"2018-01-25",3.032,3.032,3.032,3.032
"2018-01-26",3.032,3.032,3.032,3.032
"2018-01-29",3.1,3.108,3.1,3.106
"2018-01-30",3.092,3.092,3.092,3.092
"2018-01-31",3.056,3.056,3.045,3.045
"2018-02-01",3.045,3.045,3.045,3.045
"2018-02-02",3.045,3.045,3.045,3.045
"2018-02-05",2.996,2.996,2.996,2.996
"2018-02-07",2.996,2.996,2.996,2.996
"2018-02-08",2.996,2.996,2.996,2.996
"2018-02-09",2.996,2.996,2.996,2.996
"2018-02-12",2.868,2.868,2.868,2.868
"2018-02-13",2.896,2.896,2.896,2.896
"2018-02-14",2.896,2.896,2.896,2.896
"2018-02-15",2.892,2.892,2.892,2.892
"2018-02-16",2.892,2.892,2.892,2.892
"2018-02-19",2.892,2.892,2.892,2.892
"2018-02-20",2.892,2.892,2.892,2.892
"2018-02-21",2.892,2.892,2.892,2.892
"2018-02-22",2.892,2.892,2.892,2.892
"2018-02-23",2.912,2.912,2.912,2.912
"2018-02-26",2.912,2.912,2.912,2.912
"2018-02-27",3,3,3,3
"2018-02-28",3.011,3.011,3.011,3.011
"2018-03-01",3.011,3.011,3.011,3.011
"2018-03-02",3.011,3.011,3.011,3.011
"2018-03-05",2.921,2.931,2.921,2.931
"2018-03-06",2.958,2.958,2.958,2.958
"2018-03-07",2.942,2.942,2.942,2.942
"2018-03-08",2.942,2.942,2.942,2.942
"2018-03-09",2.95,2.95,2.95,2.95
"2018-03-12",2.95,2.95,2.95,2.95
"2018-03-13",2.95,2.95,2.95,2.95
"2018-03-14",2.95,2.95,2.95,2.95
"2018-03-15",2.95,2.95,2.95,2.95
"2018-03-16",2.95,2.95,2.95,2.95
"2018-03-19",2.975,2.975,2.975,2.975
"2018-03-20",2.935,2.935,2.935,2.935
"2018-03-21",2.935,2.935,2.935,2.935
"2018-03-22",2.935,2.935,2.935,2.935
"2018-03-23",2.935,2.935,2.935,2.935
"2018-03-26",2.85,2.85,2.786,2.786
"2018-03-27",2.786,2.786,2.786,2.786
"2018-03-28",2.786,2.786,2.786,2.786
"2018-03-29",2.856,2.856,2.856,2.856
"2018-04-03",2.856,2.856,2.856,2.856
"2018-04-04",2.856,2.856,2.856,2.856
"2018-04-05",2.856,2.856,2.856,2.856
"2018-04-06",2.856,2.856,2.856,2.856
"2018-04-09",2.823,2.823,2.823,2.823
"2018-04-10",2.823,2.823,2.823,2.823
"2018-04-11",2.845,2.845,2.845,2.845
"2018-04-12",2.845,2.845,2.845,2.845
"2018-04-13",2.845,2.845,2.845,2.845
"2018-04-16",2.845,2.845,2.845,2.845
"2018-04-17",2.845,2.845,2.845,2.845
"2018-04-18",2.845,2.845,2.845,2.845
"2018-04-19",2.905,2.905,2.905,2.905
"2018-04-20",2.905,2.905,2.905,2.905
"2018-04-23",2.905,2.905,2.905,2.905
"2018-04-24",2.905,2.905,2.905,2.905
"2018-04-26",2.964,2.964,2.964,2.964
"2018-04-27",2.964,2.964,2.964,2.964
"2018-04-30",2.97,2.97,2.97,2.97
"2018-05-01",2.977,2.977,2.977,2.977
"2018-05-02",2.977,2.977,2.977,2.977
"2018-05-03",2.977,2.977,2.977,2.977
"2018-05-04",2.977,2.977,2.977,2.977
"2018-05-07",2.977,2.977,2.977,2.977
"2018-05-08",2.977,2.977,2.977,2.977
"2018-05-09",2.977,2.977,2.977,2.977
