"date","open","high","low","close"
"2018-01-02",148.330002,148.979996,147.869995,148.979996
"2018-01-03",149.059998,149.539993,148.869995,149.259995
"2018-01-04",150.029999,150.25,149.350006,149.460007
"2018-01-05",149.880005,150.169998,149.399994,150.009995
"2018-01-08",149.960007,150.630005,149.240005,150.389999
"2018-01-09",150.699997,150.940002,150.190002,150.320007
"2018-01-10",150.080002,150.309998,149.309998,150.020004
"2018-01-11",150.309998,152.240005,150.309998,152.220001
"2018-01-12",152.339996,152.919998,152.179993,152.710007
"2018-01-16",153.330002,153.580002,150.820007,151.089996
"2018-01-17",151.759995,152.619995,151.429993,152.350006
"2018-01-18",152.130005,152.350006,151.539993,151.580002
"2018-01-19",151.75,153.360001,151.75,153.360001
"2018-01-22",153.419998,154.380005,153.360001,154.380005
"2018-01-23",154.279999,155.110001,153.899994,154.970001
"2018-01-24",155.410004,155.860001,153.779999,154.309998
"2018-01-25",155.070007,155.070007,153.699997,154.270004
"2018-01-26",154.800003,155.070007,154,155.070007
"2018-01-29",154.570007,155.070007,153.919998,153.940002
"2018-01-30",153.029999,153.25,152.029999,152.320007
"2018-01-31",153.039993,153.589996,151.350006,151.779999
"2018-02-01",151.479996,152.570007,151.25,152.149994
"2018-02-02",151.320007,152.119995,149.059998,149.309998
"2018-02-05",147.919998,149.220001,143.75,143.75
"2018-02-06",141.100006,145.919998,140.009995,145.229996
"2018-02-07",145.25,146.570007,144.369995,145.210007
"2018-02-08",145.460007,145.589996,140.429993,140.429993
"2018-02-09",141.729996,142.789993,137.800003,141.910004
"2018-02-12",142.25,144.25,141.089996,143.429993
"2018-02-13",142.800003,144.070007,142.339996,143.850006
"2018-02-14",142.949997,146.679993,142.729996,146.429993
"2018-02-15",147.440002,148.009995,146,147.990005
"2018-02-16",147.649994,149.289993,147.649994,148.350006
"2018-02-20",147.770004,148.850006,147.080002,147.399994
"2018-02-21",147.610001,149.529999,147.029999,147.029999
"2018-02-22",147.649994,148.610001,146.830002,146.940002
"2018-02-23",147.800003,148.869995,147.240005,148.830002
"2018-02-26",149.380005,149.789993,148.320007,149.580002
"2018-02-27",149.690002,150.199997,147.509995,147.509995
"2018-02-28",147.990005,148.449997,145.740005,145.770004
"2018-03-01",145.539993,146.660004,143.889999,145.169998
"2018-03-02",143.929993,147.289993,143.690002,147
"2018-03-05",146.490005,148.979996,146.360001,148.509995
"2018-03-06",149.039993,149.979996,147.899994,149.899994
"2018-03-07",148.820007,150.880005,148.820007,150.699997
