"date","open","high","low","close"
"2018-01-02",59.34,59.57,59.23,59.540001
"2018-01-03",59.57,59.810001,59.529999,59.75
"2018-01-04",60.330002,60.549999,60.32,60.450001
"2018-01-05",60.669998,60.889999,60.580002,60.860001
"2018-01-08",60.700001,60.709999,60.599998,60.689999
"2018-01-09",60.68,60.810001,60.52,60.790001
"2018-01-10",60.73,60.77,60.52,60.560001
"2018-01-11",60.740002,61.02,60.73,60.990002
"2018-01-12",61.470001,61.790001,61.41,61.77
"2018-01-16",61.959999,62.049999,61.740002,61.790001
"2018-01-17",61.919998,62.299999,61.73,62.049999
"2018-01-18",62.02,62.189999,61.889999,62.130001
"2018-01-19",62.41,62.48,62.189999,62.439999
"2018-01-22",62.57,62.889999,62.529999,62.84
"2018-01-23",62.880001,63.029999,62.790001,62.98
"2018-01-24",63.419998,63.490002,62.98,63.200001
"2018-01-25",63.540001,63.599998,62.810001,62.939999
"2018-01-26",63.32,63.509998,63.25,63.490002
"2018-01-29",62.98,63.009998,62.689999,62.860001
"2018-01-30",62.759998,62.830002,62.400002,62.439999
"2018-01-31",62.77,62.790001,62.32,62.48
"2018-02-01",62.290001,62.650002,62.240002,62.580002
"2018-02-02",61.830002,61.84,61.02,61.029999
"2018-02-05",60.34,60.610001,58.310001,58.459999
"2018-02-06",58.32,59.849998,58.27,59.810001
"2018-02-07",59.200001,59.650002,58.889999,59.049999
"2018-02-08",59.169998,59.220001,57.599998,57.619999
"2018-02-09",57.810001,58.080002,56.369999,57.849998
"2018-02-12",58.169998,58.669998,58.029999,58.610001
"2018-02-13",58.380001,58.549999,58.200001,58.470001
"2018-02-14",58.23,59.689999,58.150002,59.669998
"2018-02-15",59.959999,60.16,59.560001,60.080002
"2018-02-16",60.040001,60.470001,60,60.139999
"2018-02-20",59.689999,59.889999,59.380001,59.549999
"2018-02-21",59.689999,60.080002,59.23,59.25
"2018-02-22",59.470001,59.799999,59.290001,59.5
"2018-02-23",59.669998,59.970001,59.560001,59.93
"2018-02-26",60.040001,60.290001,59.779999,60.290001
"2018-02-27",59.889999,59.91,59.279999,59.290001
"2018-02-28",59.41,59.459999,58.639999,58.639999
"2018-03-01",58.34,58.560001,57.529999,58
"2018-03-02",57.73,58.09,57.419998,58.060001
"2018-03-05",57.740002,58.490002,57.720001,58.459999
"2018-03-06",58.889999,58.990002,58.68,58.91
"2018-03-07",58.759998,59.110001,58.630001,59.060001
"2018-03-08",59.279999,59.360001,58.970001,59.139999
"2018-03-09",59.25,59.470001,59.16,59.470001
"2018-03-12",59.490002,59.59,59.400002,59.549999
"2018-03-13",59.669998,59.73,58.970001,59.040001
"2018-03-14",59.540001,59.57,58.970001,59.16
"2018-03-15",59.110001,59.43,59.07,59.169998
"2018-03-16",59.130001,59.360001,59.09,59.169998
"2018-03-19",59.099998,59.119999,58.619999,58.869999
"2018-03-20",58.68,58.93,58.639999,58.77
"2018-03-21",58.740002,59.060001,58.610001,58.869999
"2018-03-22",58.080002,58.200001,57.549999,57.549999
"2018-03-23",57.880001,57.990002,57.200001,57.200001
"2018-03-26",57.919998,58.09,57.290001,58.07
"2018-03-27",58.09,58.220001,57.209999,57.380001
"2018-03-28",57.75,58.240002,57.540001,57.75
"2018-03-29",58.200001,58.369999,57.93,58.150002
"2018-04-02",58.189999,58.25,57.02,57.380001
"2018-04-03",57.68,57.830002,57.389999,57.790001
"2018-04-04",57.099998,57.950001,57.080002,57.900002
"2018-04-05",58.299999,58.580002,58.279999,58.439999
"2018-04-06",58.549999,58.77,58.099998,58.25
"2018-04-09",58.779999,59.07,58.59,58.700001
"2018-04-10",59.330002,59.549999,59.25,59.439999
"2018-04-11",59.259998,59.48,59.099998,59.130001
"2018-04-12",59.299999,59.549999,59.27,59.529999
"2018-04-13",59.75,59.779999,59.419998,59.580002
"2018-04-16",59.82,59.830002,59.59,59.68
"2018-04-17",59.93,60.169998,59.880001,60.09
"2018-04-18",60.240002,60.400002,60.189999,60.279999
"2018-04-19",60.369999,60.439999,59.98,60.110001
"2018-04-20",59.900002,60.009998,59.740002,59.849998
"2018-04-23",59.82,59.950001,59.66,59.860001
"2018-04-24",59.900002,59.98,59.380001,59.540001
"2018-04-25",59.220001,59.400002,59.009998,59.299999
"2018-04-26",59.689999,59.720001,59.43,59.630001
"2018-04-27",59.540001,59.740002,59.380001,59.689999
"2018-04-30",59.509998,59.68,59.380001,59.400002
"2018-05-01",59.25,59.360001,58.810001,59.07
"2018-05-02",59.549999,59.59,59.080002,59.110001
"2018-05-03",59.290001,59.400002,58.84,59.349998
"2018-05-04",58.889999,60,58.849998,60
"2018-05-07",59.529999,59.740002,59.419998,59.5
"2018-05-08",59.189999,59.450001,59.07,59.450001
"2018-05-09",59.599998,59.950001,59.580002,59.830002
"2018-05-10",59.93,60.150002,59.77,60.139999
"2018-05-11",60.259998,60.380001,60.169998,60.25
"2018-05-14",60.349998,60.43,60.16,60.220001
"2018-05-15",59.75,60.029999,59.57,59.830002
"2018-05-16",59.720001,59.950001,59.610001,59.919998
"2018-05-17",60,60.220001,59.93,60.119999
"2018-05-18",59.889999,60,59.790001,59.849998
"2018-05-21",60.25,60.310001,60.099998,60.27
"2018-05-22",60.41,60.529999,60.23,60.279999
"2018-05-23",59.380001,59.459999,59.119999,59.43
"2018-05-24",59.349998,59.389999,58.93,59.290001
"2018-05-25",58.77,58.889999,58.599998,58.779999
"2018-05-29",57.52,57.75,56.849998,57.119999
"2018-05-30",57.779999,58.299999,57.599998,58.150002
"2018-05-31",58.009998,58.119999,57.540001,57.959999
"2018-06-01",58.439999,58.540001,58.139999,58.450001
"2018-06-04",58.849998,58.900002,58.529999,58.580002
"2018-06-05",58.630001,58.700001,58.32,58.470001
"2018-06-06",58.700001,59.130001,58.57,59.029999
"2018-06-07",59.110001,59.16,58.560001,58.650002
"2018-06-08",58.669998,58.82,58.450001,58.720001
"2018-06-11",59.02,59.41,58.970001,59.299999
"2018-06-12",59.23,59.279999,58.880001,58.939999
"2018-06-13",59.189999,59.240002,58.849998,59.080002
"2018-06-14",59.060001,59.349998,58.990002,59.029999
"2018-06-15",58.599998,58.630001,58.380001,58.59
"2018-06-18",57.799999,58.119999,57.740002,58.09
"2018-06-19",57.27,57.630001,57.169998,57.610001
"2018-06-20",57.790001,57.82,57.509998,57.619999
"2018-06-21",57.389999,57.419998,57.060001,57.130001
"2018-06-22",56.82,57.009998,56.57,56.779999
"2018-06-25",56.330002,56.419998,55.849998,55.959999
"2018-06-26",56,56.049999,55.75,55.91
"2018-06-27",56.029999,56.25,55.41,55.43
"2018-06-28",55.279999,55.599998,55.18,55.540001
"2018-06-29",56.200001,56.470001,56.02,56.130001
"2018-07-02",55.419998,55.759998,55.389999,55.68
"2018-07-03",56.23,56.279999,55.919998,55.939999
"2018-07-05",56.630001,56.73,56.490002,56.689999
"2018-07-06",56.75,57.049999,56.68,56.98
"2018-07-09",57.369999,57.389999,57.169998,57.360001
"2018-07-10",57.41,57.560001,57.369999,57.52
"2018-07-11",56.799999,56.959999,56.32,56.450001
"2018-07-12",56.82,57.049999,56.720001,56.990002
"2018-07-13",56.91,57.09,56.790001,57.080002
"2018-07-16",57.080002,57.189999,56.970001,57.130001
"2018-07-17",56.869999,57.200001,56.830002,57.080002
"2018-07-18",57.07,57.259998,56.990002,57.130001
"2018-07-19",56.82,57.080002,56.75,56.970001
"2018-07-20",56.970001,57.380001,56.959999,57.299999
"2018-07-23",57.200001,57.27,57.07,57.189999
"2018-07-24",57.610001,57.830002,57.419998,57.52
"2018-07-25",57.5,58.07,57.23,57.959999
"2018-07-26",57.650002,57.77,57.540001,57.59
"2018-07-27",57.849998,57.950001,57.630001,57.709999
"2018-07-30",58.029999,58.130001,57.860001,57.880001
"2018-07-31",58.25,58.330002,57.950001,58.040001
"2018-08-01",57.799999,57.93,57.52,57.639999
"2018-08-02",56.950001,57.169998,56.82,57.139999
"2018-08-03",56.950001,57.27,56.950001,57.259998
"2018-08-06",56.860001,57.07,56.740002,56.950001
"2018-08-07",56.860001,57.549999,56.860001,57.360001
"2018-08-08",57.299999,57.41,57.139999,57.32
"2018-08-09",57.360001,57.389999,57.099998,57.130001
"2018-08-10",55.959999,56.119999,55.73,55.849998
"2018-08-13",55.82,55.939999,55.560001,55.68
"2018-08-14",55.68,55.740002,55.459999,55.540001
"2018-08-15",54.709999,54.73,54.259998,54.599998
"2018-08-16",54.950001,55.25,54.939999,55.02
"2018-08-17",54.889999,55.470001,54.889999,55.330002
"2018-08-20",55.619999,55.779999,55.610001,55.740002
"2018-08-21",56.27,56.540001,56.16,56.349998
"2018-08-22",56.59,56.689999,56.470001,56.540001
"2018-08-23",56.41,56.509998,56.119999,56.16
"2018-08-24",56.509998,56.720001,56.43,56.650002
"2018-08-27",56.990002,57.389999,56.990002,57.360001
"2018-08-28",57.540001,57.580002,57.259998,57.279999
"2018-08-29",57.189999,57.580002,57.139999,57.57
"2018-08-30",57.09,57.18,56.91,57.009998
"2018-08-31",56.549999,56.759998,56.169998,56.400002
"2018-09-04",55.669998,55.950001,55.580002,55.939999
"2018-09-05",55.77,55.849998,55.400002,55.59
"2018-09-06",55.5,55.68,55.119999,55.34
"2018-09-07",54.790001,55.080002,54.75,54.919998
"2018-09-10",55.470001,55.529999,55.360001,55.419998
"2018-09-11",55.049999,55.439999,54.98,55.43
"2018-09-12",55.509998,55.880001,55.490002,55.68
"2018-09-13",56.150002,56.23,55.889999,56.080002
"2018-09-14",56.060001,56.150002,55.82,55.950001
"2018-09-17",56.259998,56.369999,56.049999,56.07
"2018-09-18",56.23,56.490002,56.23,56.369999
"2018-09-19",56.310001,56.560001,56.310001,56.5
"2018-09-20",57.27,57.490002,57.130001,57.43
"2018-09-21",57.360001,57.450001,57.32,57.380001
"2018-09-24",57.459999,57.5,57.119999,57.150002
"2018-09-25",57.509998,57.599998,57.360001,57.43
"2018-09-26",57.040001,57.52,57,57.139999
"2018-09-27",57.029999,57.240002,56.869999,56.900002
"2018-09-28",56.23,56.52,56.139999,56.220001
"2018-10-01",56.529999,56.57,56.209999,56.259998
"2018-10-02",55.82,56.009998,55.759998,55.900002
"2018-10-03",56.27,56.32,56.02,56.080002
"2018-10-04",55.669998,55.759998,55.18,55.369999
"2018-10-05",55.099998,55.130001,54.720001,54.939999
"2018-10-08",54.09,54.419998,53.990002,54.389999
"2018-10-09",53.889999,54.459999,53.82,54.34
"2018-10-10",54.07,54.110001,53.110001,53.23
"2018-10-11",53.25,53.349998,52.290001,52.580002
"2018-10-12",53.060001,53.110001,52.259998,52.759998
"2018-10-15",52.650002,52.91,52.549999,52.720001
"2018-10-16",53.490002,53.75,53.41,53.709999
"2018-10-17",53.369999,53.439999,52.98,53.18
"2018-10-18",52.959999,53.07,52.150002,52.310001
"2018-10-19",52.459999,52.889999,52.43,52.669998
"2018-10-22",52.57,52.639999,52.18,52.290001
"2018-10-23",51.529999,52.07,51.23,51.880001
"2018-10-24",51.549999,51.610001,50.389999,50.41
"2018-10-25",50.93,51.32,50.720001,51.099998
"2018-10-26",50.580002,51.169998,50.150002,50.849998
"2018-10-29",51.52,51.630001,50.490002,50.900002
"2018-10-30",50.889999,51.360001,50.830002,51.360001
"2018-10-31",51.799999,52.099998,51.73,51.779999
"2018-11-01",52.450001,52.93,52.23,52.619999
"2018-11-02",52.98,53.130001,52.360001,52.669998
"2018-11-05",52.68,52.779999,52.470001,52.66
"2018-11-06",52.5,52.77,52.459999,52.77
"2018-11-07",53.290001,53.48,53.130001,53.48
"2018-11-08",53.240002,53.369999,52.75,52.830002
"2018-11-09",52.580002,52.68,52.330002,52.59
"2018-11-12",52,52.02,51.450001,51.48
"2018-11-13",51.709999,52.209999,51.639999,51.849998
"2018-11-14",52.279999,52.32,51.650002,51.970001
"2018-11-15",51.349998,51.970001,51.060001,51.869999
"2018-11-16",51.52,51.91,51.439999,51.849998
"2018-11-19",51.849998,51.880001,51.259998,51.389999
"2018-11-20",50.639999,50.900002,50.360001,50.439999
"2018-11-21",51.009998,51.349998,50.900002,51.18
"2018-11-23",50.619999,50.869999,50.619999,50.75
"2018-11-26",51.360001,51.580002,51.349998,51.57
"2018-11-27",51.169998,51.310001,50.98,51.279999
"2018-11-28",51.299999,52.040001,51.060001,52.009998
"2018-11-29",51.720001,51.900002,51.349998,51.759998
"2018-11-30",51.400002,51.48,51.18,51.43
"2018-12-03",52.130001,52.16,51.830002,52.040001
"2018-12-04",51.869999,51.939999,50.73,50.779999
"2018-12-06",49.799999,50.220001,49.290001,50.150002
"2018-12-07",50.209999,50.439999,49.540001,49.66
"2018-12-10",49.450001,49.560001,48.77,49.23
"2018-12-11",49.790001,49.82,49.130001,49.41
"2018-12-12",50.16,50.580002,50.16,50.32
"2018-12-13",50.310001,50.459999,50.119999,50.200001
"2018-12-14",49.610001,49.799999,49.439999,49.450001
"2018-12-17",49.380001,49.400002,48.790001,48.98
"2018-12-18",49.259998,49.389999,48.900002,49.009998
"2018-12-19",49.380001,49.639999,48.509998,48.669998
"2018-12-20",48.880001,48.970001,48.400002,48.450001
"2018-12-21",48.450001,48.700001,47.82,47.869999
"2018-12-24",47.43,47.84,46.950001,46.990002
"2018-12-26",47.119999,48.16,46.799999,48.16
"2018-12-27",47.34,47.990002,46.959999,47.939999
"2018-12-28",48.529999,48.619999,48.25,48.400002
"2018-12-31",48.73,48.759998,48.41,48.619999
"2019-01-02",47.970001,48.380001,47.849998,48.349998
"2019-01-03",48.189999,48.240002,47.900002,47.990002
"2019-01-04",48.68,49.529999,48.669998,49.43
"2019-01-07",49.490002,49.799999,49.360001,49.650002
"2019-01-08",50.119999,50.189999,49.869999,50.049999
"2019-01-09",50.560001,50.740002,50.400002,50.68
"2019-01-10",50.48,50.779999,50.41,50.740002
"2019-01-11",50.509998,50.650002,50.349998,50.529999
"2019-01-14",50.099998,50.41,50.060001,50.279999
"2019-01-15",50.150002,50.400002,49.990002,50.34
"2019-01-16",50.330002,50.5,50.32,50.43
"2019-01-17",50.200001,50.759998,50.200001,50.639999
"2019-01-18",51.209999,51.299999,51.029999,51.240002
"2019-01-22",50.77,50.900002,50.509998,50.57
"2019-01-23",51.07,51.150002,50.75,50.959999
"2019-01-24",50.889999,51.060001,50.709999,50.889999
"2019-01-25",51.349998,51.540001,51.32,51.439999
"2019-01-28",51.07,51.25,50.98,51.200001
"2019-01-29",51.580002,51.689999,51.41,51.459999
"2019-01-30",51.619999,52.099998,51.470001,51.93
"2019-01-31",51.77,52.009998,51.630001,51.869999
"2019-02-01",51.91,52.110001,51.77,51.93
"2019-02-04",51.799999,52.09,51.689999,52.07
"2019-02-05",52.369999,52.540001,52.310001,52.529999
"2019-02-06",52.439999,52.529999,52.279999,52.34
"2019-02-07",51.91,51.950001,51.48,51.560001
"2019-02-08",51.23,51.400002,51.029999,51.369999
"2019-02-11",51.330002,51.450001,51.189999,51.279999
"2019-02-12",51.619999,51.849998,51.619999,51.849998
"2019-02-13",51.98,52.09,51.830002,51.830002
"2019-02-14",51.82,52.040001,51.73,51.830002
"2019-02-15",52.419998,52.630001,52.310001,52.630001
"2019-02-19",52.470001,52.959999,52.470001,52.919998
"2019-02-20",52.91,53.349998,52.91,53.18
"2019-02-21",53.080002,53.119999,52.860001,52.939999
"2019-02-22",53.099998,53.220001,53.040001,53.130001
"2019-02-25",53.369999,53.450001,53.200001,53.240002
"2019-02-26",53.419998,53.73,53.41,53.639999
"2019-02-27",53.540001,53.630001,53.380001,53.419998
"2019-02-28",53.470001,53.689999,53.439999,53.509998
"2019-03-01",53.900002,54.02,53.709999,53.889999
"2019-03-04",53.93,53.98,53.470001,53.669998
"2019-03-05",53.639999,53.84,53.549999,53.740002
"2019-03-06",53.880001,53.880001,49.459999,53.630001
"2019-03-07",53.330002,53.369999,52.779999,52.779999
"2019-03-08",52.529999,52.82,52.5,52.810001
"2019-03-11",52.810001,53.25,52.799999,53.25
"2019-03-12",53.189999,53.32,53.16,53.23
"2019-03-13",53.549999,53.889999,53.529999,53.860001
"2019-03-14",54.049999,54.200001,54,54.07
"2019-03-15",54.439999,54.689999,54.439999,54.66
"2019-03-18",54.75,54.900002,54.669998,54.889999
"2019-03-19",55.299999,55.34,54.970001,55.07
"2019-03-20",54.91,55.380001,54.66,55.130001
"2019-03-21",54.630001,54.91,54.580002,54.900002
"2019-03-22",54.049999,54.139999,53.57,53.619999
"2019-03-25",53.279999,53.419998,53.139999,53.32
"2019-03-26",53.580002,53.669998,53.419998,53.5
"2019-03-27",53.669998,53.77,53.23,53.630001
"2019-03-28",53.470001,53.52,53.18,53.360001
"2019-03-29",53.630001,53.689999,53.330002,53.610001
"2019-04-01",54.16,54.32,54.09,54.310001
"2019-04-02",54.310001,54.549999,54.220001,54.540001
"2019-04-03",54.900002,55.139999,54.849998,55.040001
"2019-04-04",54.849998,54.959999,54.790001,54.889999
"2019-04-05",54.869999,55.060001,54.869999,55.040001
"2019-04-08",55.130001,55.189999,54.959999,55.099998
"2019-04-09",54.919998,54.939999,54.740002,54.779999
"2019-04-10",54.849998,55.049999,54.779999,55.009998
"2019-04-11",55.07,55.139999,54.91,55.029999
"2019-04-12",55.360001,55.419998,55.279999,55.389999
"2019-04-15",55.490002,55.52,55.349998,55.490002
"2019-04-16",55.639999,55.68,55.509998,55.529999
"2019-04-17",55.790001,55.790001,55.59,55.720001
"2019-04-18",55.599998,55.669998,55.470001,55.57
"2019-04-22",55.549999,55.700001,55.529999,55.619999
"2019-04-23",55.380001,55.59,55.34,55.560001
"2019-04-24",55.389999,55.43,55.150002,55.209999
"2019-04-25",54.959999,55.130001,54.900002,55.119999
"2019-04-26",55.139999,55.279999,55.049999,55.240002
"2019-04-29",55.25,55.509998,55.220001,55.470001
"2019-04-30",55.52,55.77,55.41,55.709999
"2019-05-01",55.77,55.84,55.259998,55.259998
"2019-05-02",55.34,55.360001,55,55.07
"2019-05-03",55.34,55.650002,55.310001,55.630001
"2019-05-06",54.439999,55.189999,54.43,55.110001
"2019-05-07",54.540001,54.59,53.939999,54.09
"2019-05-08",54.259998,54.5,54.169998,54.360001
"2019-05-09",53.75,54.139999,53.630001,54.029999
"2019-05-10",54.02,54.48,53.830002,54.450001
"2019-05-13",53.41,53.48,53.07,53.150002
"2019-05-14",53.459999,53.82,53.439999,53.66
"2019-05-15",53.25,53.970001,53.220001,53.900002
"2019-05-16",54.080002,54.509998,54.049999,54.360001
"2019-05-17",54.02,54.240002,53.959999,54.009998
"2019-05-20",53.580002,53.82,53.5,53.639999
"2019-05-21",53.93,54.130001,53.810001,54.029999
"2019-05-22",53.77,53.990002,53.77,53.84
"2019-05-23",53.130001,53.259998,52.970001,53.200001
"2019-05-24",53.720001,53.830002,53.630001,53.82
"2019-05-28",53.75,53.82,53.220001,53.220001
"2019-05-29",52.669998,52.77,52.5,52.75
"2019-05-30",52.889999,53.049999,52.830002,53.029999
"2019-05-31",52.330002,52.599998,52.139999,52.549999
"2019-06-03",52.68,52.990002,52.560001,52.919998
"2019-06-04",53.43,53.610001,53.27,53.59
"2019-06-05",53.830002,53.830002,53.509998,53.57
"2019-06-06",53.779999,53.959999,53.650002,53.849998
"2019-06-07",54.360001,54.73,54.360001,54.560001
"2019-06-10",54.580002,54.77,54.549999,54.639999
"2019-06-11",55.09,55.18,54.869999,54.990002
"2019-06-12",54.830002,54.939999,54.630001,54.630001
"2019-06-13",54.82,54.84,54.630001,54.689999
"2019-06-14",54.299999,54.310001,54.200001,54.240002
"2019-06-17",53.259998,53.400002,53.18,53.220001
"2019-06-18",53.759998,54.09,53.759998,54.040001
"2019-06-19",54.060001,54.400002,54.040001,54.259998
"2019-06-20",54.91,54.950001,54.599998,54.759998
"2019-06-21",54.619999,54.869999,54.57,54.720001
"2019-06-24",54.869999,54.950001,54.799999,54.84
"2019-06-25",54.84,54.869999,54.419998,54.43
"2019-06-26",54.619999,54.68,54.5,54.52
"2019-06-27",54.599998,54.639999,54.52,54.529999
"2019-06-28",54.830002,55.02,54.759998,54.900002
"2019-07-01",55.34,55.389999,54.939999,55.099998
"2019-07-02",55.169998,55.27,55.110001,55.209999
"2019-07-03",55.560001,55.669998,55.540001,55.639999
"2019-07-05",55.110001,55.139999,54.779999,55.080002
"2019-07-08",54.880001,54.939999,54.799999,54.82
"2019-07-09",54.439999,54.650002,54.400002,54.59
"2019-07-10",54.869999,54.98,54.669998,54.759998
"2019-07-11",54.889999,54.900002,54.580002,54.73
"2019-07-12",54.700001,54.75,54.59,54.75
"2019-07-15",54.880001,54.939999,54.779999,54.830002
"2019-07-16",54.77,54.869999,54.630001,54.650002
"2019-07-17",54.799999,54.810001,54.52,54.52
"2019-07-18",54.439999,54.779999,54.349998,54.759998
"2019-07-19",54.560001,54.630001,54.43,54.450001
"2019-07-22",54.580002,54.650002,54.470001,54.57
"2019-07-23",54.849998,54.950001,54.75,54.900002
"2019-07-24",54.720001,54.91,54.700001,54.880001
"2019-07-25",54.830002,54.830002,54.330002,54.360001
"2019-07-26",54.599998,54.630001,54.5,54.57
"2019-07-29",54.759998,54.799999,54.59,54.650002
"2019-07-30",53.91,53.950001,53.700001,53.790001
"2019-07-31",53.849998,53.990002,53.07,53.470001
"2019-08-01",53.41,53.900002,53.07,53.259998
"2019-08-02",53.060001,53.16,52.57,52.77
"2019-08-05",52.029999,52.07,51.380001,51.650002
"2019-08-06",52.040001,52.110001,51.59,51.93
"2019-08-07",51.689999,52.209999,51.580002,52.130001
"2019-08-08",52.380001,52.799999,52.299999,52.599998
"2019-08-09",52.450001,52.529999,52.200001,52.349998
"2019-08-12",52.16,52.349998,51.900002,51.970001
"2019-08-13",51.790001,52.540001,51.740002,52.389999
"2019-08-14",51.34,51.439999,50.900002,50.900002
"2019-08-15",50.900002,51.080002,50.66,50.889999
"2019-08-16",51.16,51.57,51.16,51.549999
"2019-08-19",52.080002,52.150002,51.919998,51.93
"2019-08-20",51.84,51.860001,51.599998,51.669998
"2019-08-21",52.439999,52.439999,52.209999,52.279999
"2019-08-22",52.310001,52.389999,51.98,52.18
"2019-08-23",52.09,52.470001,51.560001,51.560001
"2019-08-26",51.939999,52,51.720001,51.900002
"2019-08-27",52.169998,52.259998,51.93,51.93
"2019-08-28",51.68,52.029999,51.529999,51.84
"2019-08-29",52.360001,52.439999,52.200001,52.349998
"2019-08-30",52.779999,52.790001,52.349998,52.59
"2019-09-03",52.18,52.419998,52.130001,52.380001
"2019-09-04",53.029999,53.25,52.970001,53.25
"2019-09-05",53.639999,53.759998,53.48,53.509998
"2019-09-06",53.650002,53.77,53.619999,53.66
"2019-09-09",53.740002,53.740002,53.59,53.68
"2019-09-10",53.560001,53.860001,53.470001,53.740002
"2019-09-11",53.82,54.060001,53.779999,54.029999
"2019-09-12",53.959999,54.450001,53.91,54.380001
"2019-09-13",54.59,54.709999,54.490002,54.549999
"2019-09-16",54.169998,54.200001,53.970001,54.040001
"2019-09-17",53.970001,54.299999,53.91,54.27
"2019-09-18",54.200001,54.349998,53.950001,54.240002
"2019-09-19",54.529999,54.580002,54.389999,54.41
"2019-09-20",54.470001,54.560001,54.209999,54.220001
"2019-09-23",53.84,54.080002,53.799999,54.080002
"2019-09-24",53.75,53.82,53.43,53.459999
"2019-09-25",53.029999,53.220001,52.799999,53.150002
"2019-09-26",53.439999,53.560001,53.32,53.419998
"2019-09-27",53.57,53.669998,53.310001,53.419998
"2019-09-30",53.470001,53.709999,53.470001,53.610001
"2019-10-01",53.43,53.450001,52.93,53.02
"2019-10-02",52.169998,52.189999,51.619999,51.700001
"2019-10-03",51.759998,52.080002,51.509998,52.080002
"2019-10-04",52.150002,52.52,52.09,52.5
"2019-10-07",52.490002,52.77,52.490002,52.5
"2019-10-08",52.119999,52.16,51.849998,51.900002
"2019-10-09",52.279999,52.419998,52.18,52.349998
"2019-10-10",52.400002,52.84,52.34,52.84
"2019-10-11",53.869999,54.220001,53.84,53.98
"2019-10-14",53.68,53.869999,53.650002,53.779999
"2019-10-15",53.950001,54.639999,53.919998,54.470001
"2019-10-16",54.450001,54.68,54.400002,54.540001
"2019-10-17",54.950001,55,54.630001,54.799999
"2019-10-18",54.77,54.939999,54.599998,54.860001
"2019-10-21",55.209999,55.27,55.07,55.110001
"2019-10-22",55.049999,55.290001,54.860001,54.880001
"2019-10-23",54.98,55.209999,54.939999,55.200001
"2019-10-24",55.48,55.48,55.200001,55.34
"2019-10-25",55.150002,55.369999,55.110001,55.330002
"2019-10-28",55.490002,55.639999,55.419998,55.610001
"2019-10-29",55.330002,55.580002,55.279999,55.540001
"2019-10-30",55.459999,55.849998,55.23,55.84
"2019-10-31",55.669998,55.669998,55.43,55.669998
"2019-11-01",55.880001,56.09,55.869999,56.09
"2019-11-04",56.48,56.549999,56.27,56.369999
"2019-11-05",56.240002,56.27,56.099998,56.25
"2019-11-06",56.299999,56.360001,56.139999,56.220001
"2019-11-07",56.470001,56.490002,56.279999,56.34
"2019-11-08",56.130001,56.279999,56,56.279999
"2019-11-11",56.049999,56.27,56.029999,56.27
"2019-11-12",56.27,56.380001,56.16,56.23
"2019-11-13",55.970001,56.169998,55.970001,56.130001
"2019-11-14",55.939999,56.110001,55.880001,56.09
"2019-11-15",56.220001,56.439999,56.18,56.439999
"2019-11-18",56.369999,56.580002,56.299999,56.529999
"2019-11-19",56.73,56.759998,56.360001,56.439999
