"date","open","high","low","close"
"2018-01-02",246.149994,247.089996,245.740005,247.089996
"2018-01-03",247.240005,248.699997,247.179993,248.559998
"2018-01-04",249.270004,250.119995,249.169998,249.649994
"2018-01-05",250.460007,251.399994,249.949997,251.25
"2018-01-08",251.160004,251.880005,250.869995,251.770004
"2018-01-09",252.179993,252.940002,251.910004,252.300003
"2018-01-10",251.509995,252.169998,250.820007,251.869995
"2018-01-11",252.470001,253.729996,252.330002,253.729996
"2018-01-12",254.029999,255.559998,253.899994,255.410004
"2018-01-16",256.790009,257.399994,253.800003,254.479996
"2018-01-17",255.5,257.350006,254.740005,256.940002
"2018-01-18",256.839996,257.269989,256.019989,256.589996
"2018-01-19",257.149994,257.690002,256.529999,257.679993
"2018-01-22",257.450012,259.779999,257.450012,259.75
"2018-01-23",259.839996,260.630005,259.51001,260.339996
"2018-01-24",261.029999,261.630005,259.019989,260.209991
"2018-01-25",261.170013,261.220001,259.529999,260.329987
"2018-01-26",261.329987,263.369995,260.970001,263.359985
"2018-01-29",262.829987,263.25,261.480011,261.540009
"2018-01-30",259.670013,260.350006,258.459991,258.75
"2018-01-31",259.829987,260.380005,257.950012,258.98999
"2018-02-01",258.290009,260.119995,257.950012,258.730011
"2018-02-02",257.369995,257.5,253.089996,253.190002
"2018-02-05",251.259995,253.470001,241.919998,242.789993
"2018-02-06",238.800003,247.809998,237.669998,247.279999
"2018-02-07",246.710007,250.279999,245.919998,245.929993
"2018-02-08",246.25,246.429993,236.699997,236.789993
"2018-02-09",239.600006,242.199997,232.419998,240.440002
"2018-02-12",242.5,245.320007,240.660004,243.740005
"2018-02-13",242.630005,245,241.970001,244.559998
"2018-02-14",243,248.119995,242.839996,247.759995
"2018-02-15",249.600006,250.970001,246.979996,250.970001
"2018-02-16",250.270004,253,250.169998,250.940002
"2018-02-20",250,251.509995,248.600006,249.419998
"2018-02-21",249.860001,252.440002,248.110001,248.110001
"2018-02-22",249.169998,250.899994,247.809998,248.410004
"2018-02-23",249.820007,252.490005,249.300003,252.490005
"2018-02-26",253.559998,255.5,252.990005,255.399994
"2018-02-27",255.630005,256.339996,252.139999,252.139999
"2018-02-28",253.369995,253.820007,249.339996,249.339996
"2018-03-01",249.529999,251.029999,244.449997,246.050003
"2018-03-02",244.240005,247.860001,243.330002,247.360001
"2018-03-05",246.020004,250.789993,245.949997,250.199997
"2018-03-06",251.220001,251.25,249.229996,250.830002
"2018-03-07",248.539993,251.070007,248.360001,250.720001
"2018-03-08",251.399994,252.020004,250.360001,251.889999
"2018-03-09",253.399994,256.26001,253.050003,256.25
"2018-03-12",256.640015,257.25,255.580002,256
"2018-03-13",257.200012,257.709991,253.710007,254.309998
"2018-03-14",255.330002,255.509995,252.460007,252.970001
"2018-03-15",253.550003,254.210007,252.220001,252.729996
"2018-03-16",253.229996,254.080002,252.970001,252.990005
"2018-03-19",252.25,252.259995,247.869995,249.610001
"2018-03-20",249.990005,250.660004,249.330002,250.050003
"2018-03-21",249.940002,252.119995,249.309998,249.470001
"2018-03-22",247.110001,248.080002,243.029999,243.270004
"2018-03-23",243.740005,244.089996,237.919998,238.089996
"2018-03-26",240.820007,243.809998,238.320007,243.529999
"2018-03-27",244.470001,245.039993,237.770004,239.309998
"2018-03-28",239.460007,241.220001,237.529999,238.639999
"2018-03-29",239.850006,243.610001,239.080002,242.080002
"2018-04-02",241.190002,241.699997,233.919998,236.479996
"2018-04-03",237.809998,240,235.929993,239.479996
"2018-04-04",235.869995,242.809998,235.699997,242.240005
"2018-04-05",243.899994,244.889999,242.800003,243.990005
"2018-04-06",241.940002,243.509995,236.979996,238.619995
"2018-04-09",240.149994,243.25,239.320007,239.589996
"2018-04-10",242.75,244.380005,241.570007,243.539993
"2018-04-11",242,243.990005,241.949997,242.25
"2018-04-12",243.710007,245.25,243.470001,244.279999
"2018-04-13",245.839996,245.839996,242.5,243.600006
"2018-04-16",245.270004,246.350006,244.410004,245.580002
"2018-04-17",247.419998,248.809998,246.880005,248.220001
"2018-04-18",248.660004,249.220001,247.940002,248.360001
"2018-04-19",247.619995,247.889999,245.960007,247
"2018-04-20",246.949997,247.130005,243.970001,245
"2018-04-23",245.550003,246.080002,243.75,244.889999
"2018-04-24",245.970001,246.119995,240.009995,241.550003
"2018-04-25",241.509995,242.630005,239.600006,242.169998
"2018-04-26",243.220001,245.470001,242.770004,244.660004
"2018-04-27",245.229996,245.570007,243.889999,244.919998
"2018-04-30",245.509995,246.050003,242.850006,242.919998
"2018-05-01",242.449997,243.520004,240.759995,243.440002
"2018-05-02",243.210007,244.020004,241.360001,241.779999
"2018-05-03",240.880005,241.899994,237.919998,241.210007
"2018-05-04",240.25,245.059998,239.889999,244.410004
"2018-05-07",245.190002,246.190002,244.460007,245.169998
"2018-05-08",244.830002,245.529999,243.570007,245.160004
"2018-05-09",245.860001,247.899994,245.360001,247.539993
"2018-05-10",248.360001,250.199997,248.25,249.860001
"2018-05-11",250.039993,250.919998,249.479996,250.470001
"2018-05-14",251.119995,251.759995,250.210007,250.75
"2018-05-15",249.5,249.520004,248.059998,249.029999
"2018-05-16",249.080002,250.539993,249.070007,250.089996
"2018-05-17",249.789993,250.990005,249.080002,249.880005
"2018-05-18",249.529999,249.850006,248.889999,249.259995
"2018-05-21",250.770004,251.679993,250.429993,251.089996
"2018-05-22",251.669998,251.940002,250.100006,250.369995
"2018-05-23",249.119995,251.149994,248.949997,251.149994
"2018-05-24",250.740005,251,248.759995,250.669998
"2018-05-25",250.039993,250.639999,249.490005,250.039993
"2018-05-29",248.279999,249.080002,245.970001,247.149994
"2018-05-30",248.529999,250.880005,248.429993,250.410004
"2018-05-31",249.990005,250.300003,248.279999,248.789993
"2018-06-01",250.229996,251.649994,250.169998,251.410004
"2018-06-04",252.169998,252.800003,251.960007,252.520004
"2018-06-05",252.660004,253.130005,251.869995,252.869995
"2018-06-06",253.369995,254.960007,252.720001,254.889999
"2018-06-07",255.369995,255.699997,253.880005,254.770004
"2018-06-08",254.360001,255.619995,254.190002,255.570007
"2018-06-11",255.789993,256.670013,255.699997,255.899994
"2018-06-12",256.390015,256.630005,255.600006,256.329987
"2018-06-13",256.529999,256.769989,255.229996,255.309998
"2018-06-14",256.309998,256.619995,255.460007,256.049988
"2018-06-15",255.270004,256.070007,254.130005,255.830002
"2018-06-18",254.179993,255.360001,253.710007,255.220001
"2018-06-19",252.830002,254.460007,252.419998,254.25
"2018-06-20",254.970001,255.369995,254.320007,254.710007
"2018-06-21",254.660004,254.669998,252.580002,253.119995
"2018-06-22",254.399994,254.520004,253.320007,253.570007
"2018-06-25",252.369995,252.509995,248.350006,250.059998
"2018-06-26",250.660004,251.529999,249.910004,250.610001
"2018-06-27",251.270004,252.729996,248.429993,248.529999
"2018-06-28",247.300003,249.600006,246.630005,248.880005
"2018-06-29",249.979996,251.360001,249.100006,249.509995
"2018-07-02",247.559998,249.889999,247.320007,249.800003
"2018-07-03",250.679993,250.759995,248.440002,248.789993
"2018-07-05",250.070007,250.940002,248.910004,250.919998
"2018-07-06",250.910004,253.389999,250.520004,253.009995
"2018-07-09",254.050003,255.320007,254.009995,255.25
"2018-07-10",255.75,256.299988,255.449997,256.140015
"2018-07-11",254.600006,255.410004,254.029999,254.389999
"2018-07-12",255.660004,256.660004,255.009995,256.570007
"2018-07-13",256.48999,257.160004,255.990005,256.790009
"2018-07-16",256.890015,257.01001,256.160004,256.630005
"2018-07-17",255.850006,258.059998,255.800003,257.730011
"2018-07-18",257.76001,258.320007,257.279999,258.200012
"2018-07-19",257.5,257.899994,256.75,257.220001
"2018-07-20",257,257.649994,256.779999,256.980011
"2018-07-23",256.730011,257.609985,256.399994,257.470001
"2018-07-24",258.839996,259.570007,257.820007,258.679993
"2018-07-25",258.540009,261.25,258.429993,261.049988
"2018-07-26",260.140015,261.01001,260.100006,260.279999
"2018-07-27",260.730011,260.73999,257.579987,258.589996
"2018-07-30",258.600006,258.779999,256.640015,257.100006
"2018-07-31",258.019989,259.089996,257.600006,258.399994
"2018-08-01",258.640015,259.190002,257.350006,258.079987
"2018-08-02",256.730011,259.600006,256.480011,259.390015
"2018-08-03",259.600006,260.660004,259.390015,260.660004
"2018-08-06",260.559998,261.829987,260.200012,261.640015
"2018-08-07",262.200012,262.779999,262.079987,262.369995
"2018-08-08",262.230011,262.670013,261.790009,262.230011
"2018-08-09",262.329987,262.73999,261.76001,261.899994
"2018-08-10",260.359985,260.959991,259.429993,260.119995
"2018-08-13",260.410004,261.070007,258.899994,259.140015
"2018-08-14",259.940002,261.070007,259.549988,260.809998
"2018-08-15",259.429993,259.549988,257.390015,258.890015
"2018-08-16",260.359985,261.890015,260.350006,260.98999
"2018-08-17",260.709991,262.380005,260.350006,261.859985
"2018-08-20",262.399994,262.73999,261.899994,262.440002
"2018-08-21",263.01001,263.970001,262.859985,263.01001
"2018-08-22",262.640015,263.450012,262.390015,262.929993
"2018-08-23",262.679993,263.630005,262.209991,262.549988
"2018-08-24",263.160004,264.290009,263.109985,264.200012
"2018-08-27",265.380005,266.350006,265.26001,266.190002
"2018-08-28",266.76001,266.829987,265.890015,266.339996
"2018-08-29",266.589996,268.049988,266.339996,267.799988
"2018-08-30",267.309998,267.709991,266.119995,266.709991
"2018-08-31",266.329987,267.220001,265.829987,266.720001
"2018-09-04",266.350006,266.660004,265.26001,266.350006
"2018-09-05",265.910004,266.130005,264.519989,265.600006
"2018-09-06",265.690002,265.98999,263.700012,264.820007
"2018-09-07",263.630005,265.26001,263.450012,264.179993
"2018-09-10",265.279999,265.570007,264.51001,264.679993
"2018-09-11",264.029999,266.049988,263.679993,265.679993
"2018-09-12",265.609985,266.26001,264.829987,265.709991
"2018-09-13",266.779999,267.420013,266.470001,267.220001
"2018-09-14",267.470001,267.619995,266.470001,267.359985
