"date","open","high","low","close"
"2018-01-02",73.290001,73.5,73.120003,73.480003
"2018-01-03",73.779999,74.330002,73.730003,74.309998
"2018-01-04",74.629997,74.75,74.449997,74.720001
"2018-01-05",74.849998,75.089996,74.739998,75.010002
"2018-01-08",75.099998,75.279999,75.019997,75.220001
"2018-01-09",75.230003,75.279999,75.029999,75.260002
"2018-01-10",75.290001,75.410004,75.150002,75.300003
"2018-01-11",75.370003,75.839996,75.330002,75.839996
"2018-01-12",75.629997,76.239998,75.550003,76.239998
"2018-01-16",76.529999,76.559998,75.919998,76.040001
"2018-01-17",76.330002,76.82,76.190002,76.629997
"2018-01-18",76.019997,76.190002,75.900002,76.18
"2018-01-19",76.620003,76.629997,76.360001,76.599998
"2018-01-22",76.400002,76.769997,76.349998,76.730003
"2018-01-23",77.010002,77.18,76.889999,77.139999
"2018-01-24",77.519997,77.610001,77.059998,77.419998
"2018-01-25",77.480003,77.580002,76.970001,77.18
"2018-01-26",77.519997,77.959999,77.43,77.849998
"2018-01-29",77.400002,77.470001,77.150002,77.279999
"2018-01-30",76.699997,76.699997,76.25,76.449997
"2018-01-31",76.629997,76.629997,76.209999,76.360001
"2018-02-01",76.379997,76.690002,76.279999,76.449997
"2018-02-02",75.889999,76.080002,74.860001,74.870003
"2018-02-05",74.059998,74.25,71.790001,71.949997
"2018-02-06",72.300003,73.57,71.75,73.349998
"2018-02-07",72.559998,73.019997,72.019997,72.07
"2018-02-08",72.279999,72.690002,70.019997,70.019997
"2018-02-09",71,71.25,69.010002,70.790001
"2018-02-12",71.339996,72.220001,71.129997,71.980003
"2018-02-13",71.290001,71.790001,71.099998,71.690002
"2018-02-14",71.18,72.940002,71.18,72.919998
"2018-02-15",73.510002,73.730003,72.769997,73.419998
"2018-02-16",73.830002,74.290001,73.760002,74.010002
"2018-02-20",73.510002,73.809998,73.150002,73.389999
"2018-02-21",73.610001,74.010002,72.910004,72.980003
"2018-02-22",73.379997,73.779999,73.150002,73.239998
"2018-02-23",73.830002,74.290001,73.68,74.269997
"2018-02-26",74.690002,75.129997,74.480003,75.129997
"2018-02-27",74.690002,75.019997,73.900002,73.900002
"2018-02-28",74.129997,74.220001,73.290001,73.300003
"2018-03-01",72.849998,73.120003,71.68,72.019997
"2018-03-02",71.599998,72.559998,71.389999,72.510002
"2018-03-05",72.129997,72.779999,71.779999,72.620003
"2018-03-06",73.589996,73.669998,73.239998,73.389999
"2018-03-07",72.739998,73.029999,72.389999,72.970001
"2018-03-08",73.190002,73.279999,72.919998,73.209999
"2018-03-09",73.370003,73.980003,73.269997,73.980003
"2018-03-12",74.040001,74.25,73.900002,74.050003
"2018-03-13",74.470001,74.57,73.639999,73.769997
"2018-03-14",74.339996,74.419998,73.849998,74.110001
"2018-03-15",74.199997,74.370003,73.790001,73.959999
"2018-03-16",73.68,73.849998,73.599998,73.669998
"2018-03-19",73.199997,73.209999,72.32,72.709999
"2018-03-20",73.040001,73.209999,72.910004,73.07
"2018-03-21",72.910004,73.550003,72.849998,73.239998
"2018-03-22",72.669998,72.910004,72.080002,72.089996
"2018-03-23",71.779999,71.879997,70.510002,70.529999
"2018-03-26",71.5,71.82,70.910004,71.790001
"2018-03-27",72.489998,72.599998,71.339996,71.440002
"2018-03-28",72.050003,72.379997,71.669998,71.980003
"2018-03-29",72.480003,73.239998,72.379997,72.949997
"2018-04-02",72.449997,72.860001,71.300003,71.580002
"2018-04-03",72.370003,72.559998,72,72.489998
"2018-04-04",71.300003,72.529999,71.25,72.489998
"2018-04-05",72.660004,72.93,72.550003,72.790001
"2018-04-06",72.269997,72.529999,71.489998,71.760002
"2018-04-09",72.529999,72.940002,72.379997,72.419998
"2018-04-10",72.93,73.129997,72.730003,72.970001
"2018-04-11",72.690002,73.139999,72.690002,72.82
"2018-04-12",72.690002,72.949997,72.599998,72.830002
"2018-04-13",72.970001,72.989998,72.580002,72.809998
"2018-04-16",72.980003,73.099998,72.860001,73
"2018-04-17",72.910004,73.349998,72.889999,73.18
"2018-04-18",73.599998,73.809998,73.57,73.739998
"2018-04-19",73.529999,73.639999,73.199997,73.349998
"2018-04-20",73.199997,73.239998,72.849998,73.029999
"2018-04-23",73.059998,73.059998,72.629997,72.830002
"2018-04-24",73.190002,73.190002,72.400002,72.580002
"2018-04-25",72.580002,72.739998,72.339996,72.669998
"2018-04-26",73.099998,73.370003,73.040001,73.290001
"2018-04-27",73.5,73.540001,73.25,73.410004
"2018-04-30",73.580002,73.709999,73.199997,73.199997
"2018-05-01",73.150002,73.190002,72.690002,73.120003
"2018-05-02",73.110001,73.419998,72.919998,73
"2018-05-03",72.970001,73.279999,72.489998,73.120003
"2018-05-04",72.68,73.57,72.540001,73.470001
"2018-05-07",73.199997,73.370003,73.120003,73.290001
"2018-05-08",73.230003,73.400002,73.150002,73.379997
"2018-05-09",72.919998,73.080002,72.809998,73.080002
"2018-05-10",73.519997,73.889999,73.489998,73.779999
"2018-05-11",74.129997,74.230003,74.050003,74.160004
"2018-05-14",74.43,74.5,74.25,74.309998
"2018-05-15",73.580002,73.639999,73.339996,73.489998
"2018-05-16",73.720001,73.980003,73.709999,73.870003
"2018-05-17",73.669998,73.809998,73.5,73.690002
"2018-05-18",73.559998,73.610001,73.379997,73.459999
"2018-05-21",73.699997,73.82,73.68,73.82
"2018-05-22",73.870003,73.940002,73.580002,73.620003
"2018-05-23",73.129997,73.480003,73.019997,73.470001
"2018-05-24",73.199997,73.300003,72.540001,73.110001
"2018-05-25",72.970001,73.150002,72.870003,72.949997
"2018-05-29",72.5,72.610001,72.080002,72.269997
"2018-05-30",72.360001,72.82,72.239998,72.779999
"2018-05-31",72.629997,72.730003,72.300003,72.389999
"2018-06-01",72.839996,73.07,72.559998,73.010002
"2018-06-04",73.57,73.660004,73.389999,73.459999
"2018-06-05",73.379997,73.400002,73.190002,73.330002
"2018-06-06",73.550003,73.839996,73.43,73.809998
"2018-06-07",73.900002,74,73.480003,73.620003
"2018-06-08",73.57,73.769997,73.449997,73.699997
"2018-06-11",73.849998,74.059998,73.800003,73.959999
"2018-06-12",73.669998,73.68,73.349998,73.43
"2018-06-13",73.459999,73.589996,72.970001,73.209999
"2018-06-14",73.220001,73.25,72.889999,72.940002
"2018-06-15",72.459999,72.459999,72.129997,72.389999
"2018-06-18",71.949997,72.010002,71.669998,71.970001
"2018-06-19",70.959999,71.080002,70.809998,71.07
"2018-06-20",71.489998,71.510002,71.129997,71.230003
"2018-06-21",71.019997,71.080002,70.760002,70.779999
"2018-06-22",71.150002,71.150002,70.839996,70.889999
"2018-06-25",70.300003,70.410004,69.720001,69.949997
"2018-06-26",70.370003,70.489998,70.029999,70.279999
"2018-06-27",70.290001,70.449997,69.580002,69.580002
"2018-06-28",69.620003,69.980003,69.540001,69.919998
"2018-06-29",70,70.139999,69.93,69.980003
"2018-07-02",68.589996,68.82,68.419998,68.760002
"2018-07-03",69.050003,69.230003,68.620003,68.639999
"2018-07-05",68.769997,68.889999,68.57,68.75
"2018-07-06",68.980003,69.389999,68.900002,69.260002
"2018-07-09",70.050003,70.18,69.879997,70.169998
"2018-07-10",69.830002,69.919998,69.730003,69.889999
"2018-07-11",69.089996,69.239998,68.550003,68.699997
"2018-07-12",69.080002,69.160004,68.919998,69.120003
"2018-07-13",69.370003,69.57,69.239998,69.57
"2018-07-16",69.529999,69.589996,69.379997,69.449997
"2018-07-17",69.580002,69.879997,69.519997,69.800003
"2018-07-18",69.620003,69.900002,69.559998,69.82
"2018-07-19",69.370003,69.709999,69.220001,69.529999
"2018-07-20",69.790001,70.010002,69.720001,69.980003
"2018-07-23",69.959999,69.980003,69.790001,69.940002
"2018-07-24",70.489998,70.690002,70.260002,70.339996
"2018-07-25",70.510002,71.110001,70.330002,70.940002
"2018-07-26",70.970001,71.080002,70.82,70.82
"2018-07-27",71.230003,71.410004,71,71.07
"2018-07-30",71.080002,71.129997,70.730003,70.769997
"2018-07-31",70.510002,70.839996,70.400002,70.540001
"2018-08-01",70.730003,70.809998,70.489998,70.629997
"2018-08-02",69.82,70.059998,69.730003,70.050003
"2018-08-03",69.760002,70.120003,69.739998,70.120003
"2018-08-06",69.610001,69.790001,69.540001,69.669998
"2018-08-07",70.379997,70.43,70.260002,70.330002
"2018-08-08",70.220001,70.470001,70.18,70.339996
"2018-08-09",70.379997,70.480003,70.129997,70.169998
"2018-08-10",69.290001,69.290001,68.919998,69.080002
"2018-08-13",68.790001,68.800003,68.349998,68.470001
"2018-08-14",68.75,68.889999,68.660004,68.790001
"2018-08-15",68.150002,68.18,67.669998,68.040001
"2018-08-16",68.32,68.589996,68.32,68.449997
"2018-08-17",68.5,69.050003,68.43,68.849998
"2018-08-20",68.849998,69.080002,68.839996,69
"2018-08-21",69.059998,69.309998,69.050003,69.190002
"2018-08-22",69.389999,69.519997,69.32,69.370003
